Municipality,Points
Lier,"[(59.78504212456343, 10.306346710622696), (59.78504212456343, 10.310346710622696), (59.78504212456343, 10.314346710622695), (59.78504212456343, 10.318346710622695), (59.78904212456343, 10.306346710622696), (59.78904212456343, 10.310346710622696), (59.78904212456343, 10.314346710622695), (59.78904212456343, 10.318346710622695)]"
Modum,"[(59.9438754402419, 9.979060488185777), (59.9438754402419, 9.983060488185776), (59.9438754402419, 9.987060488185776), (59.9438754402419, 9.991060488185775), (59.947875440241894, 9.979060488185777), (59.947875440241894, 9.983060488185776), (59.947875440241894, 9.987060488185776), (59.947875440241894, 9.991060488185775)]"
Nedre Eiker,"[(59.76698326562071, 10.059188205204963), (59.76698326562071, 10.063188205204963), (59.76698326562071, 10.067188205204962), (59.76698326562071, 10.071188205204962), (59.77098326562071, 10.059188205204963), (59.77098326562071, 10.063188205204963), (59.77098326562071, 10.067188205204962), (59.77098326562071, 10.071188205204962)]"
Nore og Uvdal,"[(60.25893184934711, 8.717038776692265), (60.25893184934711, 8.721038776692264), (60.25893184934711, 8.725038776692264), (60.25893184934711, 8.729038776692263), (60.262931849347105, 8.717038776692265), (60.262931849347105, 8.721038776692264), (60.262931849347105, 8.725038776692264), (60.262931849347105, 8.729038776692263)]"
Ringerike,"[(60.16984445672034, 10.251511828467253), (60.16984445672034, 10.255511828467252), (60.16984445672034, 10.259511828467252), (60.16984445672034, 10.263511828467252), (60.17384445672034, 10.251511828467253), (60.17384445672034, 10.255511828467252), (60.17384445672034, 10.259511828467252), (60.17384445672034, 10.263511828467252)]"
Rollag,"[(60.024315169250414, 9.301507926795596), (60.024315169250414, 9.305507926795595), (60.024315169250414, 9.309507926795595), (60.024315169250414, 9.313507926795594), (60.02831516925041, 9.301507926795596), (60.02831516925041, 9.305507926795595), (60.02831516925041, 9.309507926795595), (60.02831516925041, 9.313507926795594)]"
Røyken,"[(59.7434295242139, 10.401290790448984), (59.7434295242139, 10.405290790448984), (59.7434295242139, 10.409290790448983), (59.7434295242139, 10.413290790448983), (59.7474295242139, 10.401290790448984), (59.7474295242139, 10.405290790448984), (59.7474295242139, 10.409290790448983), (59.7474295242139, 10.413290790448983)]"
Sigdal,"[(60.17263626766181, 9.619040256543679), (60.17263626766181, 9.623040256543678), (60.17263626766181, 9.627040256543678), (60.17263626766181, 9.631040256543677), (60.176636267661806, 9.619040256543679), (60.176636267661806, 9.623040256543678), (60.176636267661806, 9.627040256543678), (60.176636267661806, 9.631040256543677)]"
Øvre Eiker,"[(59.77876814515326, 9.896844336035262), (59.77876814515326, 9.900844336035261), (59.77876814515326, 9.90484433603526), (59.77876814515326, 9.90884433603526), (59.782768145153256, 9.896844336035262), (59.782768145153256, 9.900844336035261), (59.782768145153256, 9.90484433603526), (59.782768145153256, 9.90884433603526)]"
Ål,"[(60.62938936513819, 8.553189475396698), (60.62938936513819, 8.557189475396697), (60.62938936513819, 8.561189475396697), (60.62938936513819, 8.565189475396696), (60.633389365138186, 8.553189475396698), (60.633389365138186, 8.557189475396697), (60.633389365138186, 8.561189475396697), (60.633389365138186, 8.565189475396696)]"
Hof,"[(59.5177924929844, 10.131134790885003), (59.5177924929844, 10.135134790885003), (59.5177924929844, 10.139134790885002), (59.5177924929844, 10.143134790885002), (59.521792492984396, 10.131134790885003), (59.521792492984396, 10.135134790885003), (59.521792492984396, 10.139134790885002), (59.521792492984396, 10.143134790885002)]"
Holmestrand,"[(59.488434849255455, 10.312239236315037), (59.488434849255455, 10.316239236315036), (59.488434849255455, 10.320239236315036), (59.488434849255455, 10.324239236315035), (59.49243484925545, 10.312239236315037), (59.49243484925545, 10.316239236315036), (59.49243484925545, 10.320239236315036), (59.49243484925545, 10.324239236315035)]"
Horten,"[(59.41345347912752, 10.481427127762812), (59.41345347912752, 10.485427127762811), (59.41345347912752, 10.489427127762811), (59.41345347912752, 10.49342712776281), (59.417453479127516, 10.481427127762812), (59.417453479127516, 10.485427127762811), (59.417453479127516, 10.489427127762811), (59.417453479127516, 10.49342712776281)]"
Larvik,"[(59.05486838612473, 10.022224877863357), (59.05486838612473, 10.026224877863356), (59.05486838612473, 10.030224877863356), (59.05486838612473, 10.034224877863355), (59.05886838612473, 10.022224877863357), (59.05886838612473, 10.026224877863356), (59.05886838612473, 10.030224877863356), (59.05886838612473, 10.034224877863355)]"
Re,"[(59.41429644705108, 10.251907701681475), (59.41429644705108, 10.255907701681474), (59.41429644705108, 10.259907701681474), (59.41429644705108, 10.263907701681473), (59.41829644705108, 10.251907701681475), (59.41829644705108, 10.255907701681474), (59.41829644705108, 10.259907701681474), (59.41829644705108, 10.263907701681473)]"
Sande,"[(62.196377245649664, 5.493896705226773), (62.20037724564966, 5.493896705226773), (62.20037724564966, 5.497896705226773), (62.20037724564966, 5.501896705226772), (62.20037724564966, 5.505896705226772), (62.20437724564966, 5.493896705226773), (62.20437724564966, 5.497896705226773), (62.20437724564966, 5.501896705226772), (62.20437724564966, 5.505896705226772), (62.20837724564966, 5.505896705226772)]"
Sandefjord,"[(59.1247151275266, 10.204585101472734), (59.1247151275266, 10.208585101472734), (59.1247151275266, 10.212585101472733), (59.1247151275266, 10.216585101472733), (59.1287151275266, 10.204585101472734), (59.1287151275266, 10.208585101472734), (59.1287151275266, 10.212585101472733), (59.1287151275266, 10.216585101472733)]"
Svelvik,"[(59.608545954739945, 10.401999409762851), (59.608545954739945, 10.40599940976285), (59.608545954739945, 10.40999940976285), (59.608545954739945, 10.41399940976285), (59.61254595473994, 10.401999409762851), (59.61254595473994, 10.40599940976285), (59.61254595473994, 10.40999940976285), (59.61254595473994, 10.41399940976285)]"
Tønsberg,"[(59.2665435177535, 10.395496677073256), (59.2665435177535, 10.399496677073255), (59.2665435177535, 10.403496677073255), (59.2665435177535, 10.407496677073254), (59.270543517753495, 10.395496677073256), (59.270543517753495, 10.399496677073255), (59.270543517753495, 10.403496677073255), (59.270543517753495, 10.407496677073254)]"
Bø,"[(68.66233868314, 14.546683849437528), (68.66233868314, 14.550683849437528), (68.66233868314, 14.554683849437527), (68.66233868314, 14.558683849437527), (68.66233868314, 14.562683849437526), (68.66633868314001, 14.546683849437528), (68.66633868314001, 14.550683849437528), (68.66633868314001, 14.554683849437527), (68.66633868314001, 14.558683849437527), (68.66633868314001, 14.562683849437526)]"
Drangedal,"[(59.095040950795045, 9.054304548690444), (59.095040950795045, 9.058304548690444), (59.095040950795045, 9.062304548690443), (59.095040950795045, 9.066304548690443), (59.09904095079504, 9.054304548690444), (59.09904095079504, 9.058304548690444), (59.09904095079504, 9.062304548690443), (59.09904095079504, 9.066304548690443)]"
Fyresdal,"[(59.191261731108604, 8.089483765873414), (59.191261731108604, 8.093483765873414), (59.191261731108604, 8.097483765873413), (59.191261731108604, 8.101483765873413), (59.1952617311086, 8.089483765873414), (59.1952617311086, 8.093483765873414), (59.1952617311086, 8.097483765873413), (59.1952617311086, 8.101483765873413)]"
Hjartdal,"[(59.608933856888115, 8.501437277368574), (59.608933856888115, 8.505437277368573), (59.608933856888115, 8.509437277368573), (59.608933856888115, 8.513437277368572), (59.61293385688811, 8.501437277368574), (59.61293385688811, 8.505437277368573), (59.61293385688811, 8.509437277368573), (59.61293385688811, 8.513437277368572)]"
Kragerø,"[(58.86770163844241, 9.406302269365987), (58.86770163844241, 9.410302269365987), (58.86770163844241, 9.414302269365987), (58.86770163844241, 9.418302269365986), (58.87170163844241, 9.406302269365987), (58.87170163844241, 9.410302269365987), (58.87170163844241, 9.414302269365987), (58.87170163844241, 9.418302269365986)]"
Kviteseid,"[(59.41001778834661, 8.48669099884951), (59.41001778834661, 8.490690998849509), (59.41001778834661, 8.494690998849508), (59.41001778834661, 8.498690998849508), (59.414017788346605, 8.48669099884951), (59.414017788346605, 8.490690998849509), (59.414017788346605, 8.494690998849508), (59.414017788346605, 8.498690998849508)]"
Nissedal,"[(59.0861858137116, 8.49586314039368), (59.0861858137116, 8.49986314039368), (59.0861858137116, 8.50386314039368), (59.0861858137116, 8.50786314039368), (59.0901858137116, 8.49586314039368), (59.0901858137116, 8.49986314039368), (59.0901858137116, 8.50386314039368), (59.0901858137116, 8.50786314039368)]"
Nome,"[(59.28341256809712, 9.03900293740034), (59.28341256809712, 9.04300293740034), (59.28341256809712, 9.04700293740034), (59.28341256809712, 9.05100293740034), (59.28741256809712, 9.03900293740034), (59.28741256809712, 9.04300293740034), (59.28741256809712, 9.04700293740034), (59.28741256809712, 9.05100293740034)]"
Notodden,"[(59.554291294277164, 9.257136586889178), (59.554291294277164, 9.261136586889178), (59.554291294277164, 9.265136586889177), (59.554291294277164, 9.269136586889177), (59.55829129427716, 9.257136586889178), (59.55829129427716, 9.261136586889178), (59.55829129427716, 9.265136586889177), (59.55829129427716, 9.269136586889177)]"
Porsgrunn,"[(59.13869475209704, 9.642317720394976), (59.13869475209704, 9.646317720394975), (59.13869475209704, 9.650317720394975), (59.13869475209704, 9.654317720394975), (59.142694752097036, 9.642317720394976), (59.142694752097036, 9.646317720394975), (59.142694752097036, 9.650317720394975), (59.142694752097036, 9.654317720394975)]"
Sauherad,"[(59.391915084318036, 9.249388372260325), (59.391915084318036, 9.253388372260325), (59.391915084318036, 9.257388372260325), (59.391915084318036, 9.261388372260324), (59.395915084318034, 9.249388372260325), (59.395915084318034, 9.253388372260325), (59.395915084318034, 9.257388372260325), (59.395915084318034, 9.261388372260324)]"
Seljord,"[(59.48028154037435, 8.632491887143052), (59.48028154037435, 8.636491887143052), (59.48028154037435, 8.640491887143051), (59.48028154037435, 8.644491887143051), (59.48428154037435, 8.632491887143052), (59.48428154037435, 8.636491887143052), (59.48428154037435, 8.640491887143051), (59.48428154037435, 8.644491887143051)]"
Siljan,"[(59.29356650768161, 9.688322542922979), (59.29356650768161, 9.692322542922978), (59.29356650768161, 9.696322542922978), (59.29356650768161, 9.700322542922978), (59.29756650768161, 9.688322542922979), (59.29756650768161, 9.692322542922978), (59.29756650768161, 9.696322542922978), (59.29756650768161, 9.700322542922978)]"
Skien,"[(59.206589583357186, 9.543921949686288), (59.206589583357186, 9.547921949686287), (59.206589583357186, 9.551921949686287), (59.206589583357186, 9.555921949686287), (59.210589583357184, 9.543921949686288), (59.210589583357184, 9.547921949686287), (59.210589583357184, 9.551921949686287), (59.210589583357184, 9.555921949686287)]"
Tinn,"[(59.86660346628842, 8.612293613789118), (59.86660346628842, 8.616293613789118), (59.86660346628842, 8.620293613789118), (59.86660346628842, 8.624293613789117), (59.870603466288415, 8.612293613789118), (59.870603466288415, 8.616293613789118), (59.870603466288415, 8.620293613789118), (59.870603466288415, 8.624293613789117)]"
Tokke,"[(59.44884553497762, 8.019093904708974), (59.44884553497762, 8.023093904708974), (59.44884553497762, 8.027093904708973), (59.44884553497762, 8.031093904708973), (59.45284553497762, 8.019093904708974), (59.45284553497762, 8.023093904708974), (59.45284553497762, 8.027093904708973), (59.45284553497762, 8.031093904708973)]"
Vinje,"[(59.58159787294352, 7.973724367255795), (59.58159787294352, 7.977724367255795), (59.58159787294352, 7.9817243672557945), (59.58159787294352, 7.985724367255794), (59.58559787294352, 7.973724367255795), (59.58559787294352, 7.977724367255795), (59.58559787294352, 7.9817243672557945), (59.58559787294352, 7.985724367255794)]"
Arendal,"[(58.460125650854174, 8.766902603389054), (58.460125650854174, 8.770902603389054), (58.460125650854174, 8.774902603389053), (58.460125650854174, 8.778902603389053), (58.46412565085417, 8.766902603389054), (58.46412565085417, 8.770902603389054), (58.46412565085417, 8.774902603389053), (58.46412565085417, 8.778902603389053)]"
Birkenes,"[(58.369969807440306, 8.23420702150416), (58.369969807440306, 8.23820702150416), (58.369969807440306, 8.242207021504159), (58.369969807440306, 8.246207021504159), (58.373969807440304, 8.23420702150416), (58.373969807440304, 8.23820702150416), (58.373969807440304, 8.242207021504159), (58.373969807440304, 8.246207021504159)]"
Bygland,"[(58.83273267661002, 7.796214642016291), (58.83273267661002, 7.80021464201629), (58.83273267661002, 7.80421464201629), (58.83273267661002, 7.8082146420162895), (58.83673267661002, 7.796214642016291), (58.83673267661002, 7.80021464201629), (58.83673267661002, 7.80421464201629), (58.83673267661002, 7.8082146420162895)]"
Bykle,"[(59.34414485236967, 7.351357421343625), (59.34814485236967, 7.351357421343625), (59.34814485236967, 7.355357421343625), (59.34814485236967, 7.359357421343624), (59.34814485236967, 7.363357421343624), (59.35214485236967, 7.351357421343625), (59.35214485236967, 7.355357421343625), (59.35214485236967, 7.359357421343624), (59.35214485236967, 7.363357421343624), (59.35614485236967, 7.363357421343624)]"
Evje og Hornnes,"[(58.562540058490306, 7.8002614283235845), (58.562540058490306, 7.804261428323584), (58.562540058490306, 7.808261428323584), (58.562540058490306, 7.812261428323583), (58.566540058490304, 7.8002614283235845), (58.566540058490304, 7.804261428323584), (58.566540058490304, 7.808261428323584), (58.566540058490304, 7.812261428323583)]"
Froland,"[(58.51674160014519, 8.636335669209597), (58.51674160014519, 8.640335669209597), (58.51674160014519, 8.644335669209596), (58.51674160014519, 8.648335669209596), (58.520741600145186, 8.636335669209597), (58.520741600145186, 8.640335669209597), (58.520741600145186, 8.644335669209596), (58.520741600145186, 8.648335669209596)]"
Gjerstad,"[(58.87587007416662, 8.987717357005117), (58.87587007416662, 8.991717357005117), (58.87587007416662, 8.995717357005116), (58.87587007416662, 8.999717357005116), (58.87987007416662, 8.987717357005117), (58.87987007416662, 8.991717357005117), (58.87987007416662, 8.995717357005116), (58.87987007416662, 8.999717357005116)]"
Grimstad,"[(58.333972861199605, 8.583695990390558), (58.333972861199605, 8.587695990390557), (58.333972861199605, 8.591695990390557), (58.333972861199605, 8.595695990390556), (58.3379728611996, 8.583695990390558), (58.3379728611996, 8.587695990390557), (58.3379728611996, 8.591695990390557), (58.3379728611996, 8.595695990390556)]"
Iveland,"[(58.443823201986575, 7.77305293434572), (58.443823201986575, 7.777052934345719), (58.443823201986575, 7.781052934345719), (58.443823201986575, 7.785052934345718), (58.44782320198657, 7.77305293434572), (58.44782320198657, 7.777052934345719), (58.44782320198657, 7.781052934345719), (58.44782320198657, 7.785052934345718)]"
Lillesand,"[(58.25131468590288, 8.37654266081173), (58.25131468590288, 8.380542660811729), (58.25131468590288, 8.384542660811729), (58.25131468590288, 8.388542660811728), (58.255314685902874, 8.37654266081173), (58.255314685902874, 8.380542660811729), (58.255314685902874, 8.384542660811729), (58.255314685902874, 8.388542660811728)]"
Risør,"[(58.714042297432464, 9.188773405705197), (58.714042297432464, 9.192773405705196), (58.714042297432464, 9.196773405705196), (58.714042297432464, 9.200773405705196), (58.71804229743246, 9.188773405705197), (58.71804229743246, 9.192773405705196), (58.71804229743246, 9.196773405705196), (58.71804229743246, 9.200773405705196)]"
Tvedestrand,"[(58.62095278351987, 8.928105971574396), (58.62095278351987, 8.932105971574396), (58.62095278351987, 8.936105971574396), (58.62095278351987, 8.940105971574395), (58.624952783519866, 8.928105971574396), (58.624952783519866, 8.932105971574396), (58.624952783519866, 8.936105971574396), (58.624952783519866, 8.940105971574395)]"
Valle,"[(59.204928024193485, 7.524241787379547), (59.204928024193485, 7.528241787379547), (59.204928024193485, 7.532241787379546), (59.204928024193485, 7.536241787379546), (59.20892802419348, 7.524241787379547), (59.20892802419348, 7.528241787379547), (59.20892802419348, 7.532241787379546), (59.20892802419348, 7.536241787379546)]"
Vegårshei,"[(58.74679422536005, 8.923448796568803), (58.74679422536005, 8.927448796568802), (58.74679422536005, 8.931448796568802), (58.74679422536005, 8.935448796568801), (58.750794225360046, 8.923448796568803), (58.750794225360046, 8.927448796568802), (58.750794225360046, 8.931448796568802), (58.750794225360046, 8.935448796568801)]"
Åmli,"[(58.761475285625394, 8.48748286751463), (58.761475285625394, 8.49148286751463), (58.761475285625394, 8.49548286751463), (58.761475285625394, 8.49948286751463), (58.76547528562539, 8.48748286751463), (58.76547528562539, 8.49148286751463), (58.76547528562539, 8.49548286751463), (58.76547528562539, 8.49948286751463)]"
Audnedal,"[(58.282495128281205, 7.326787645778765), (58.282495128281205, 7.330787645778765), (58.282495128281205, 7.334787645778764), (58.282495128281205, 7.338787645778764), (58.2864951282812, 7.326787645778765), (58.2864951282812, 7.330787645778765), (58.2864951282812, 7.334787645778764), (58.2864951282812, 7.338787645778764)]"
Flekkefjord,"[(58.290373129638944, 6.6559563137941815), (58.29437312963894, 6.6559563137941815), (58.29437312963894, 6.659956313794181), (58.29437312963894, 6.663956313794181), (58.29437312963894, 6.66795631379418), (58.29837312963894, 6.6559563137941815), (58.29837312963894, 6.659956313794181), (58.29837312963894, 6.663956313794181), (58.29837312963894, 6.66795631379418), (58.30237312963894, 6.66795631379418)]"
Hægebostad,"[(58.34145500034187, 7.1758309434490215), (58.345455000341865, 7.1758309434490215), (58.345455000341865, 7.179830943449021), (58.345455000341865, 7.183830943449021), (58.345455000341865, 7.18783094344902), (58.34945500034186, 7.1758309434490215), (58.34945500034186, 7.179830943449021), (58.34945500034186, 7.183830943449021), (58.34945500034186, 7.18783094344902), (58.35345500034186, 7.18783094344902)]"
Kristiansand,"[(58.14040237968838, 7.988290731656601), (58.14040237968838, 7.992290731656601), (58.14040237968838, 7.9962907316566), (58.14040237968838, 8.0002907316566), (58.14440237968838, 7.988290731656601), (58.14440237968838, 7.992290731656601), (58.14440237968838, 7.9962907316566), (58.14440237968838, 8.0002907316566)]"
Kvinesdal,"[(58.309960013489174, 6.959972440629429), (58.31396001348917, 6.959972440629429), (58.31396001348917, 6.963972440629429), (58.31396001348917, 6.9679724406294286), (58.31396001348917, 6.971972440629428), (58.31796001348917, 6.959972440629429), (58.31796001348917, 6.963972440629429), (58.31796001348917, 6.9679724406294286), (58.31796001348917, 6.971972440629428), (58.32196001348917, 6.971972440629428)]"
Lindesnes,"[(58.08156756801222, 7.285055468972184), (58.08156756801222, 7.289055468972183), (58.08156756801222, 7.293055468972183), (58.08156756801222, 7.297055468972182), (58.085567568012216, 7.285055468972184), (58.085567568012216, 7.289055468972183), (58.085567568012216, 7.293055468972183), (58.085567568012216, 7.297055468972182)]"
Lyngdal,"[(58.126357453871435, 7.052783355757625), (58.13035745387143, 7.052783355757625), (58.13035745387143, 7.0567833557576245), (58.13035745387143, 7.060783355757624), (58.13035745387143, 7.064783355757624), (58.13435745387143, 7.052783355757625), (58.13435745387143, 7.0567833557576245), (58.13435745387143, 7.060783355757624), (58.13435745387143, 7.064783355757624), (58.13835745387143, 7.064783355757624)]"
Mandal,"[(58.02835429978694, 7.449566958628547), (58.02835429978694, 7.453566958628547), (58.02835429978694, 7.457566958628546), (58.02835429978694, 7.461566958628546), (58.03235429978694, 7.449566958628547), (58.03235429978694, 7.453566958628547), (58.03235429978694, 7.457566958628546), (58.03235429978694, 7.461566958628546)]"
Marnardal,"[(58.26785090899289, 7.5353306916503), (58.26785090899289, 7.539330691650299), (58.26785090899289, 7.543330691650299), (58.26785090899289, 7.5473306916502985), (58.27185090899289, 7.5353306916503), (58.27185090899289, 7.539330691650299), (58.27185090899289, 7.543330691650299), (58.27185090899289, 7.5473306916502985)]"
Sirdal,"[(58.84672268492532, 6.887422562564532), (58.850722684925316, 6.887422562564532), (58.850722684925316, 6.891422562564531), (58.850722684925316, 6.895422562564531), (58.850722684925316, 6.8994225625645305), (58.854722684925314, 6.887422562564532), (58.854722684925314, 6.891422562564531), (58.854722684925314, 6.895422562564531), (58.854722684925314, 6.8994225625645305), (58.85872268492531, 6.8994225625645305)]"
Songdalen,"[(58.277656250101764, 7.7044061588478225), (58.277656250101764, 7.708406158847822), (58.277656250101764, 7.712406158847822), (58.277656250101764, 7.716406158847821), (58.28165625010176, 7.7044061588478225), (58.28165625010176, 7.708406158847822), (58.28165625010176, 7.712406158847822), (58.28165625010176, 7.716406158847821)]"
Søgne,"[(58.08547641630016, 7.811924454883524), (58.08547641630016, 7.815924454883524), (58.08547641630016, 7.819924454883523), (58.08547641630016, 7.823924454883523), (58.08947641630016, 7.811924454883524), (58.08947641630016, 7.815924454883524), (58.08947641630016, 7.819924454883523), (58.08947641630016, 7.823924454883523)]"
Vennesla,"[(58.26520447418198, 7.9635529915616505), (58.26520447418198, 7.96755299156165), (58.26520447418198, 7.97155299156165), (58.26520447418198, 7.975552991561649), (58.269204474181976, 7.9635529915616505), (58.269204474181976, 7.96755299156165), (58.269204474181976, 7.97155299156165), (58.269204474181976, 7.975552991561649)]"
Bjerkreim,"[(58.63888260481455, 6.0701323874323485), (58.642882604814545, 6.0701323874323485), (58.642882604814545, 6.074132387432348), (58.642882604814545, 6.078132387432348), (58.642882604814545, 6.082132387432347), (58.64688260481454, 6.0701323874323485), (58.64688260481454, 6.074132387432348), (58.64688260481454, 6.078132387432348), (58.64688260481454, 6.082132387432347), (58.65088260481454, 6.082132387432347)]"
Bokn,"[(59.20831982744758, 5.444814848632384), (59.21231982744758, 5.444814848632384), (59.21231982744758, 5.4488148486323835), (59.21231982744758, 5.452814848632383), (59.21231982744758, 5.456814848632383), (59.21631982744758, 5.444814848632384), (59.21631982744758, 5.4488148486323835), (59.21631982744758, 5.452814848632383), (59.21631982744758, 5.456814848632383), (59.220319827447575, 5.456814848632383)]"
Eigersund,"[(58.4442257204495, 5.999267073710126), (58.4482257204495, 5.999267073710126), (58.4482257204495, 6.003267073710125), (58.4482257204495, 6.007267073710125), (58.4482257204495, 6.011267073710124), (58.4522257204495, 5.999267073710126), (58.4522257204495, 6.003267073710125), (58.4522257204495, 6.007267073710125), (58.4522257204495, 6.011267073710124), (58.456225720449495, 6.011267073710124)]"
Finnøy,"[(59.163771412983124, 5.8270465541005905), (59.16777141298312, 5.8270465541005905), (59.16777141298312, 5.83104655410059), (59.16777141298312, 5.83504655410059), (59.16777141298312, 5.839046554100589), (59.17177141298312, 5.8270465541005905), (59.17177141298312, 5.83104655410059), (59.17177141298312, 5.83504655410059), (59.17177141298312, 5.839046554100589), (59.17577141298312, 5.839046554100589)]"
Forsand,"[(58.902709075342564, 6.228610171605818), (58.90670907534256, 6.228610171605818), (58.90670907534256, 6.232610171605818), (58.90670907534256, 6.236610171605817), (58.90670907534256, 6.240610171605817), (58.91070907534256, 6.228610171605818), (58.91070907534256, 6.232610171605818), (58.91070907534256, 6.236610171605817), (58.91070907534256, 6.240610171605817), (58.91470907534256, 6.240610171605817)]"
Gjesdal,"[(58.76547574258586, 6.072206903702204), (58.76947574258586, 6.072206903702204), (58.76947574258586, 6.076206903702204), (58.76947574258586, 6.080206903702203), (58.76947574258586, 6.084206903702203), (58.77347574258586, 6.072206903702204), (58.77347574258586, 6.076206903702204), (58.77347574258586, 6.080206903702203), (58.77347574258586, 6.084206903702203), (58.77747574258586, 6.084206903702203)]"
Hjelmeland,"[(59.22456478279337, 6.180785044495026), (59.22856478279337, 6.180785044495026), (59.22856478279337, 6.184785044495025), (59.22856478279337, 6.188785044495025), (59.22856478279337, 6.192785044495024), (59.23256478279337, 6.180785044495026), (59.23256478279337, 6.184785044495025), (59.23256478279337, 6.188785044495025), (59.23256478279337, 6.192785044495024), (59.236564782793366, 6.192785044495024)]"
Hå,"[(58.60844188186109, 5.645067226606412), (58.61244188186109, 5.645067226606412), (58.61244188186109, 5.6490672266064115), (58.61244188186109, 5.653067226606411), (58.61244188186109, 5.657067226606411), (58.616441881861086, 5.645067226606412), (58.616441881861086, 5.6490672266064115), (58.616441881861086, 5.653067226606411), (58.616441881861086, 5.657067226606411), (58.62044188186108, 5.657067226606411)]"
Karmøy,"[(59.27897613535977, 5.301147410439704), (59.28297613535977, 5.301147410439704), (59.28297613535977, 5.305147410439703), (59.28297613535977, 5.309147410439703), (59.28297613535977, 5.3131474104397025), (59.286976135359765, 5.301147410439704), (59.286976135359765, 5.305147410439703), (59.286976135359765, 5.309147410439703), (59.286976135359765, 5.3131474104397025), (59.29097613535976, 5.3131474104397025)]"
Klepp,"[(58.76033419276247, 5.621334294113635), (58.76433419276247, 5.621334294113635), (58.76433419276247, 5.625334294113634), (58.76433419276247, 5.629334294113634), (58.76433419276247, 5.6333342941136335), (58.76833419276247, 5.621334294113635), (58.76833419276247, 5.625334294113634), (58.76833419276247, 5.629334294113634), (58.76833419276247, 5.6333342941136335), (58.772334192762465, 5.6333342941136335)]"
Kvitsøy,"[(59.061507280614876, 5.41576089065889), (59.065507280614874, 5.41576089065889), (59.065507280614874, 5.41976089065889), (59.065507280614874, 5.4237608906588894), (59.065507280614874, 5.427760890658889), (59.06950728061487, 5.41576089065889), (59.06950728061487, 5.41976089065889), (59.06950728061487, 5.4237608906588894), (59.06950728061487, 5.427760890658889), (59.07350728061487, 5.427760890658889)]"
Lund,"[(58.46361299018303, 6.5457733503731), (58.46761299018303, 6.5457733503731), (58.46761299018303, 6.5497733503730995), (58.46761299018303, 6.553773350373099), (58.46761299018303, 6.557773350373099), (58.471612990183026, 6.5457733503731), (58.471612990183026, 6.5497733503730995), (58.471612990183026, 6.553773350373099), (58.471612990183026, 6.557773350373099), (58.47561299018302, 6.557773350373099)]"
Randaberg,"[(58.976750427694434, 5.6146200539344955), (58.98075042769443, 5.6146200539344955), (58.98075042769443, 5.618620053934495), (58.98075042769443, 5.622620053934495), (58.98075042769443, 5.626620053934494), (58.98475042769443, 5.6146200539344955), (58.98475042769443, 5.618620053934495), (58.98475042769443, 5.622620053934495), (58.98475042769443, 5.626620053934494), (58.98875042769443, 5.626620053934494)]"
Sandnes,"[(58.85004471669793, 5.7364220928729655), (58.85404471669793, 5.7364220928729655), (58.85404471669793, 5.740422092872965), (58.85404471669793, 5.744422092872965), (58.85404471669793, 5.748422092872964), (58.858044716697925, 5.7364220928729655), (58.858044716697925, 5.740422092872965), (58.858044716697925, 5.744422092872965), (58.858044716697925, 5.748422092872964), (58.86204471669792, 5.748422092872964)]"
Sauda,"[(59.64159139010572, 6.338435533487769), (59.645591390105714, 6.338435533487769), (59.645591390105714, 6.342435533487769), (59.645591390105714, 6.346435533487768), (59.645591390105714, 6.350435533487768), (59.64959139010571, 6.338435533487769), (59.64959139010571, 6.342435533487769), (59.64959139010571, 6.346435533487768), (59.64959139010571, 6.350435533487768), (59.65359139010571, 6.350435533487768)]"
Sokndal,"[(58.33764076375465, 6.28421372007305), (58.34164076375465, 6.28421372007305), (58.34164076375465, 6.28821372007305), (58.34164076375465, 6.2922137200730495), (58.34164076375465, 6.296213720073049), (58.345640763754645, 6.28421372007305), (58.345640763754645, 6.28821372007305), (58.345640763754645, 6.2922137200730495), (58.345640763754645, 6.296213720073049), (58.34964076375464, 6.296213720073049)]"
Sola,"[(58.879279900028855, 5.641259253614158), (58.88327990002885, 5.641259253614158), (58.88327990002885, 5.6452592536141575), (58.88327990002885, 5.649259253614157), (58.88327990002885, 5.653259253614157), (58.88727990002885, 5.641259253614158), (58.88727990002885, 5.6452592536141575), (58.88727990002885, 5.649259253614157), (58.88727990002885, 5.653259253614157), (58.89127990002885, 5.653259253614157)]"
Stavanger,"[(58.95764588359743, 5.7248382351264375), (58.96164588359743, 5.7248382351264375), (58.96164588359743, 5.728838235126437), (58.96164588359743, 5.732838235126437), (58.96164588359743, 5.736838235126436), (58.965645883597425, 5.7248382351264375), (58.965645883597425, 5.728838235126437), (58.965645883597425, 5.732838235126437), (58.965645883597425, 5.736838235126436), (58.96964588359742, 5.736838235126436)]"
Strand,"[(59.016272809736634, 6.041859672077077), (59.02027280973663, 6.041859672077077), (59.02027280973663, 6.045859672077077), (59.02027280973663, 6.049859672077076), (59.02027280973663, 6.053859672077076), (59.02427280973663, 6.041859672077077), (59.02427280973663, 6.045859672077077), (59.02427280973663, 6.049859672077076), (59.02427280973663, 6.053859672077076), (59.02827280973663, 6.053859672077076)]"
