Municipality,Points
Rømskog,"[(59.74959071157124, 11.82568030369275), (59.74959071157124, 11.829680303692749), (59.74959071157124, 11.833680303692748), (59.74959071157124, 11.837680303692748), (59.753590711571235, 11.82568030369275), (59.753590711571235, 11.829680303692749), (59.753590711571235, 11.833680303692748), (59.753590711571235, 11.837680303692748)]"
Råde,"[(59.34453794577408, 10.842729606293295), (59.34453794577408, 10.846729606293295), (59.34453794577408, 10.850729606293294), (59.34453794577408, 10.854729606293294), (59.348537945774076, 10.842729606293295), (59.348537945774076, 10.846729606293295), (59.348537945774076, 10.850729606293294), (59.348537945774076, 10.854729606293294)]"
Sarpsborg,"[(59.28098492297417, 11.114040777868102), (59.28098492297417, 11.118040777868101), (59.28098492297417, 11.1220407778681), (59.28098492297417, 11.1260407778681), (59.28498492297417, 11.114040777868102), (59.28498492297417, 11.118040777868101), (59.28498492297417, 11.1220407778681), (59.28498492297417, 11.1260407778681)]"
Skiptvet,"[(59.480178842050385, 11.161876224899798), (59.480178842050385, 11.165876224899797), (59.480178842050385, 11.169876224899797), (59.480178842050385, 11.173876224899796), (59.48417884205038, 11.161876224899798), (59.48417884205038, 11.165876224899797), (59.48417884205038, 11.169876224899797), (59.48417884205038, 11.173876224899796)]"
Spydeberg,"[(59.61247635024729, 11.075829541232645), (59.61247635024729, 11.079829541232645), (59.61247635024729, 11.083829541232644), (59.61247635024729, 11.087829541232644), (59.61647635024729, 11.075829541232645), (59.61647635024729, 11.079829541232645), (59.61647635024729, 11.083829541232644), (59.61647635024729, 11.087829541232644)]"
Trøgstad,"[(59.628117342223206, 11.304753667167263), (59.628117342223206, 11.308753667167263), (59.628117342223206, 11.312753667167263), (59.628117342223206, 11.316753667167262), (59.632117342223204, 11.304753667167263), (59.632117342223204, 11.308753667167263), (59.632117342223204, 11.312753667167263), (59.632117342223204, 11.316753667167262)]"
Våler,"[(60.64827009719974, 11.829269716153439), (60.64827009719974, 11.833269716153438), (60.64827009719974, 11.837269716153438), (60.64827009719974, 11.841269716153437), (60.65227009719974, 11.829269716153439), (60.65227009719974, 11.833269716153438), (60.65227009719974, 11.837269716153438), (60.65227009719974, 11.841269716153437)]"
Gjerdrum,"[(60.07830167584566, 11.020611718180518), (60.07830167584566, 11.024611718180518), (60.07830167584566, 11.028611718180517), (60.07830167584566, 11.032611718180517), (60.082301675845656, 11.020611718180518), (60.082301675845656, 11.024611718180518), (60.082301675845656, 11.028611718180517), (60.082301675845656, 11.032611718180517)]"
Hurdal,"[(60.429257940698115, 11.032353902211641), (60.429257940698115, 11.03635390221164), (60.429257940698115, 11.04035390221164), (60.429257940698115, 11.04435390221164), (60.43325794069811, 11.032353902211641), (60.43325794069811, 11.03635390221164), (60.43325794069811, 11.04035390221164), (60.43325794069811, 11.04435390221164)]"
Lørenskog,"[(59.91435260188581, 10.950728345792758), (59.91435260188581, 10.954728345792757), (59.91435260188581, 10.958728345792757), (59.91435260188581, 10.962728345792756), (59.91835260188581, 10.950728345792758), (59.91835260188581, 10.954728345792757), (59.91835260188581, 10.958728345792757), (59.91835260188581, 10.962728345792756)]"
