Municipality,Elevation
Nord-Odal,"[206.7867126464844, 208.8748779296875, 200.8744506835938, 215.5847320556641, 241.9312591552734, 243.4966278076172, 219.4121551513672, 212.9583435058594]"
Os,"[164.4991760253906, 183.0317840576172, 202.6702117919922, 188.7765808105469, 173.8732147216797, 63.88316345214844, 100.9853591918945, 217.1804504394531, 193.1455535888672, 84.22750854492188]"
Rendalen,"[369.0647583007812, 337.2255859375, 283.6856689453125, 262.0140380859375, 354.3307800292969, 306.0202941894531, 264.5117797851562, 262.4045104980469]"
Ringsaker,"[451.8669128417969, 448.46142578125, 461.0674438476562, 472.48193359375, 478.7943115234375, 468.5992126464844, 474.0119323730469, 479.9751892089844]"
Stange,"[220, 220, 220, 219.1554260253906, 220.9073333740234, 220, 219.3915252685547, 217.5298767089844]"
Stor-Elvdal,"[540.2674560546875, 523.1807250976562, 507.9053039550781, 489.8663635253906, 570.5612182617188, 539.4449462890625, 520.5697021484375, 501.09326171875]"
Sør-Odal,"[182.8637390136719, 194.4632110595703, 180.8187255859375, 168.9931182861328, 201.7218475341797, 215.9556579589844, 199.7884521484375, 193.0182495117188]"
Tolga,"[574.1655883789062, 572.6121826171875, 558.9238891601562, 551.5409545898438, 598.0123291015625, 609.960693359375, 617.0008544921875, 614.799072265625]"
Trysil,"[368.1952514648438, 402.7754211425781, 453.0976867675781, 513.7798461914062, 384.7784729003906, 423.9921569824219, 467.0273132324219, 516.9610595703125]"
Tynset,"[485.6293029785156, 499.7356872558594, 502.2168884277344, 503.87744140625, 480, 484.4656372070312, 492.3511962890625, 496.1077880859375]"
Åmot,"[289.9322814941406, 288.5814208984375, 285.7281188964844, 279.8272094726562, 300.5830993652344, 299.7915649414062, 299.9632568359375, 295.3729858398438]"
Åsnes,"[152, 151, 150, 148, 150, 149, 148, 148]"
Dovre,"[1169.524291992188, 1179.54248046875, 1192.826049804688, 1205.029174804688, 1122.113647460938, 1137.8212890625, 1158.104858398438, 1171.45166015625]"
Etnedal,"[813.6328125, 804.1748046875, 792.8545532226562, 779.9365234375, 783.3404541015625, 779, 779, 778.716552734375]"
Gausdal,"[285.8883666992188, 286.5043334960938, 291.6530151367188, 300.9194030761719, 297.1560363769531, 305.8528747558594, 332.0036010742188, 356.9195556640625]"
Gjøvik,"[129.3942565917969, 123.871711730957, 123, 123, 126.7633056640625, 123, 123, 123]"
Gran,"[209.464111328125, 223.6616821289062, 244.1586456298828, 249.9680938720703, 202.8951110839844, 218.7135772705078, 238.2537231445312, 244.99169921875]"
Jevnaker,"[136, 136.2370452880859, 138.6709136962891, 142.196533203125, 145.3766326904297, 135, 135, 135]"
Lesja,"[837, 837, 838.7266845703125, 860.0662231445312, 847.291015625, 862.8659057617188, 881.1073608398438, 914.8220825195312]"
Lillehammer,"[196.3491516113281, 208.9597015380859, 219.5719604492188, 236.5496826171875, 202.0805969238281, 214.6105499267578, 224.8218383789062, 239.3226318359375]"
Lom,"[366.3541259765625, 373.3071594238281, 390.6839294433594, 432.3501281738281, 362, 362, 362.75927734375, 367.8773193359375]"
Lunner,"[274.5943908691406, 286.4187622070312, 308.469482421875, 371.3454895019531, 320.6203002929688, 341.892333984375, 368.454345703125, 375.4888916015625]"
Nord-Aurdal,"[841.0526733398438, 841.1342163085938, 838.2236328125, 834.6596069335938, 861.3967895507812, 868.3507690429688, 867.5003662109375, 867.2208862304688]"
Nord-Fron,"[238.1208038330078, 237.9497528076172, 233.6372375488281, 220.0600280761719, 249.4903259277344, 243.9382629394531, 240.3861999511719, 232.1011810302734]"
Nordre Land,"[517.8189697265625, 489.6376037597656, 478.7505493164062, 430.5783081054688, 277.10986328125, 268.7221984863281, 264.3558959960938, 262.8498840332031]"
Ringebu,"[184.0817718505859, 181.2563629150391, 179.8336181640625, 188.4157562255859, 190.93603515625, 193.1649780273438, 194.9282531738281, 226.0945587158203]"
Sel,"[1202.856811523438, 1181.25830078125, 1142.61328125, 1131.35595703125, 1056.2080078125, 1042.470825195312, 1032.3916015625, 1015.269592285156]"
Skjåk,"[436.4520568847656, 425.884521484375, 417.1388549804688, 410.0023193359375, 401.4008178710938, 400.5127258300781, 400, 399, 403.2324523925781]"
Søndre Land,"[129, 129.9278564453125, 133.1297912597656, 137.9552154541016, 130.6986083984375, 131.3012390136719, 135.9552154541016, 154.1472930908203]"
Sør-Aurdal,"[736.0143432617188, 649.7893676757812, 556.3167114257812, 495.4645690917969, 602.4131469726562, 553.1993408203125, 486.21533203125, 425.6530456542969]"
Sør-Fron,"[262.9650573730469, 293.9610290527344, 316.5160522460938, 354.8045349121094, 292.8912963867188, 331.0143127441406, 362.1227722167969, 412.8775634765625]"
Vang,"[471.0896606445312, 470.654296875, 472.5208740234375, 474.2853698730469, 466, 466, 466, 466]"
Vestre Slidre,"[364, 364, 364, 364.3824462890625, 364, 364, 364, 366.4383850097656]"
Vestre Toten,"[342.0242614746094, 357.1308898925781, 368.6038513183594, 377, 322.3554382324219, 342.0828857421875, 350.2311401367188, 357.5560302734375]"
Vågå,"[1031.157836914062, 984.6788940429688, 936.1771240234375, 901.9525146484375, 1000.573913574219, 982.6082153320312, 974.9293823242188, 967.9993286132812]"
Østre Toten,"[239.5244293212891, 239.7938385009766, 247.2593994140625, 255.3858032226562, 246.5178527832031, 239.0836486816406, 234.8133239746094, 235.9008636474609]"
