Municipality,Elevation
Bømlo,"[37.74262237548828, 23.13129997253418, 35.7478141784668, 34.68175888061523, 31.80905723571777, 27.41280364990234, 41.20119476318359, 38.50932693481445, 39.52003479003906, 26.4228401184082]"
Etne,"[445.6657104492188, 434.2942504882812, 418.8333435058594, 430.7926940917969, 448.0770874023438, 425.7272033691406, 439.7305603027344, 468.2892761230469, 540.5816040039062, 613.7393798828125]"
Fusa,"[95.45237731933594, 278.6856689453125, 283.0223693847656, 210.2675476074219, 204.2911071777344, 382.3127136230469, 376.102783203125, 345.8841552734375, 324.9756774902344, 402.3865051269531]"
Granvin,"[234.5608215332031, 55.10219573974609, 244.1645965576172, 399.6406555175781, 577.7515258789062, 0, 60.06761169433594, 226.7881774902344, 405.2344970703125, 249.0228881835938]"
Jondal,"[299.3219909667969, 181.8902587890625, 191.1755828857422, 234.7171936035156, 263.9519348144531, 11.49070072174072, 58.27921295166016, 99.76960754394531, 115.3056411743164, 55.43212127685547]"
Kvam,"[666.574462890625, 753.0795288085938, 689.777587890625, 691.2630615234375, 695.7750854492188, 804.2431030273438, 797.9644775390625, 786.5822143554688, 729.4299926757812, 851.356201171875]"
Kvinnherad,"[683.8759765625, 631.935302734375, 458.494384765625, 335.3173522949219, 328.3902282714844, 404.8722534179688, 292.4645080566406, 272.5205078125, 385.762939453125, 179.6758270263672]"
Lindås,"[65.47154235839844, 93.2859878540039, 63.12778091430664, 56.42755126953125, 57.6933708190918, 51.95729446411133, 53.1430778503418, 60.60545349121094, 86.83148193359375, 23.66550636291504]"
Masfjorden,"[274.9637145996094, 168.0073089599609, 423.3248291015625, 536.4611206054688, 551.9989013671875, 102.8485107421875, 389.2711181640625, 543.1203002929688, 567.6160888671875, 537.1761474609375]"
Meland,"[16.46032905578613, 20.91607284545898, 36.37109756469727, 46.24448013305664, 45.34539031982422, 2.874462604522705, 27.58952903747559, 33.82521820068359, 32.859375, 2.817646980285645]"
Modalen,"[571.2099609375, 714.084228515625, 718.8907470703125, 705.1572875976562, 746.4896240234375, 836.3992309570312, 801.4205932617188, 705.292236328125, 712.6788330078125, 836.8744506835938]"
Odda,"[1222.830688476562, 964.4478149414062, 889.9111328125, 772.020751953125, 594.344970703125, 957.694580078125, 913.4188232421875, 830.25537109375, 686.4039916992188, 865.7281494140625]"
Osterøy,"[443.0173034667969, 436.6916198730469, 457.9716491699219, 425.582763671875, 455.2705078125, 486.3206176757812, 466.2356262207031, 488.0909423828125, 513.7638549804688, 496.9242553710938]"
Voss,"[611.1195678710938, 493.1715087890625, 508.6554260253906, 513.2244262695312, 514.8588256835938, 375.2750244140625, 380.1321105957031, 407.4495239257812, 408.3345642089844, 203.1925811767578]"
Askvoll,"[0, 14.21742057800293, 6.199897766113281, 0, 0, 81.99051666259766, 84.1341323852539, 55.45407104492188, 18.20056533813477, 52.34930419921875]"
Aurland,"[481.2077941894531, 249.4874420166016, 105.1537551879883, 81.80506896972656, 52.09718322753906, 14.3449535369873, 11.20938110351562, 5.984340190887451, 0.3322769403457642, 127.852424621582]"
Balestrand,"[10.23783397674561, 13.98382377624512, 3.182234048843384, 0, 0, 40.90400314331055, 12.00302124023438, 0, 0, 0]"
Jostedalsbreen – nær,"[1034.17138671875, 664.26025390625, 695.1052856445312, 761.2276000976562, 779.62353515625, 584.6304321289062, 646.771728515625, 681.1409912109375, 716.4291381835938, 906.2625732421875]"
Bremanger,"[0, 0, 0, 0, 0, 0, 0, 0, 0.580936074256897, 0]"
Eid,"[3.38890552520752, 4.083693981170654, 8.799192428588867, 13.87725353240967, 17.60881805419922, 11.69469261169434, 21.08797454833984, 27.31075286865234, 26.60634994506836, 81.89055633544922]"
Fjaler,"[173.9141845703125, 145.8571166992188, 181.8800048828125, 243.2987823486328, 306.2779541015625, 72.17913818359375, 135.3650665283203, 164.9345855712891, 200.3220520019531, 280.4079284667969]"
Flora,"[17.38388824462891, 10.82737827301025, 9.264548301696777, 7.462367534637451, 2.505252599716187, 0, 0.4292136132717133, 0.912661075592041, 1, 0]"
Førde,"[310.3947143554688, 59.84297561645508, 52.88721466064453, 33.64265823364258, 16.79837417602539, 0, 0, 0, 2, 17.47918701171875]"
Gaular,"[703.20654296875, 684.34716796875, 633.658935546875, 595.3463745117188, 585.7227172851562, 637, 637.29150390625, 656.316162109375, 657.5171508789062, 629.8311767578125]"
Gloppen,"[2.965961933135986, 4.311296939849854, 37.95947265625, 68.81108093261719, 81.66655731201172, 11.08894062042236, 3.593356609344482, 19.06155395507812, 21.50561904907227, 1.217896342277527]"
Gulen,"[102.0129699707031, 103.6380996704102, 175.9196319580078, 245.7400054931641, 272.9765319824219, 158.3812866210938, 202.2631225585938, 251.7714691162109, 300.7262878417969, 462.8291625976562]"
Hornindal,"[351.9331970214844, 606.6201171875, 561.2760009765625, 527.9818115234375, 500.07861328125, 782.8209838867188, 778.5558471679688, 762.7615966796875, 737.210693359375, 769.0848999023438]"
Hyllestad,"[295.7871398925781, 278.0065612792969, 279.7523803710938, 259.0025329589844, 259, 317.3446350097656, 266.5026245117188, 239.1584014892578, 229.9487762451172, 256.7798767089844]"
Høyanger,"[0.8278652429580688, 5.598470211029053, 8.098336219787598, 74.08992767333984, 503.5205383300781, 79.58660125732422, 51.81889724731445, 20.04108238220215, 19.21024131774902, 109.8976516723633]"
Jølster,"[980.131591796875, 1040.754028320312, 997.321044921875, 870.2176513671875, 615.9149169921875, 727.3748779296875, 669.0608520507812, 576.3895874023438, 497.0074157714844, 469.7005615234375]"
Leikanger,"[-11.74611663818359, 0, 0, 0, 3.619733333587646, 140.0133361816406, 136.8320922851562, 117.6254272460938, 75.43795776367188, 151.7574462890625]"
Luster,"[1169.351196289062, 1157.393920898438, 1153.946655273438, 1151.963989257812, 1139.848388671875, 1117.713012695312, 1092.262084960938, 1059.090209960938, 1027.442993164062, 842.5587158203125]"
Lærdal,"[509.5566101074219, 192.1233062744141, 90.7842788696289, 21.90976715087891, 16.2358341217041, 0.04570695012807846, 1, 1, 0.3638373017311096, 216.1786346435547]"
Naustdal,"[19.77616310119629, 4.684598445892334, 55.28639984130859, 111.195671081543, 126.0551071166992, 1, 12.32480239868164, 34.24562835693359, 77.09305572509766, 5.908461570739746]"
Selje,"[10.84962272644043, 8.505295753479004, 93.7959213256836, 157.78076171875, 181.2195129394531, 43.10966873168945, 129.5593719482422, 192.0615539550781, 210.0657806396484, 187.1827850341797]"
Sogndal,"[34.69300842285156, 4.295423030853271, 0, 0, 0, 17.74234962463379, 14.59222888946533, 13.43749332427979, 18.79992294311523, 81.1068115234375]"
Fjærland og Sogndalsdalen,"[246.8940887451172, 159.2911529541016, 357.2620239257812, 600.2890625, 783.0068969726562, 52.26164627075195, 211.8731079101562, 424.6636962890625, 644.5926513671875, 510.1795349121094]"
Solund,"[0, 0, 0, 0, 0, 0, 0, 0, 54.44889831542969, 26.09671020507812]"
Stryn,"[188.29736328125, 32.16952514648438, 51.59891891479492, 65.41281127929688, 105.7548446655273, 0.4763599038124084, 0, 0.4825782179832458, 8.905034065246582, 38.77230834960938]"
Vik,"[210.8310546875, 113.7572250366211, 104.389778137207, 88.2220687866211, 77.82732391357422, 89.52922058105469, 61.92219161987305, 61.02384567260742, 64.04876708984375, 64.01514434814453]"
Vågsøy,"[0, 131.3876037597656, 100.3038558959961, 65.82797241210938, 11.49420166015625, 181.5495452880859, 144.7671356201172, 118.9682083129883, 47.2065315246582, 36.16190719604492]"
Aukra,"[36.85395812988281, 44.03918075561523, 45.04309463500977, 43.02154922485352, 41.01520156860352, 52.66529846191406, 55.95167541503906, 43.21468353271484, 31.76194953918457, 2.079333543777466]"
Aure,"[0, 0, 0, 0, 0, 0.05893169716000557, 0, 0.9367533922195435, 0, 0.7829393148422241, 89.50576782226562]"
Averøy,"[31.90719413757324, 22.05863380432129, 21.05703353881836, 21, 20.05703353881836, 2.839911460876465, 13.18706226348877, 17.40501022338867, 20, 0.1820680499076843]"
Eide,"[10, 34.56895065307617, 31.81499671936035, 29.15550231933594, 29.26116180419922, 69.00069427490234, 67.90383911132812, 71.40914154052734, 76.83228302001953, 213.1747589111328]"
Fræna,"[164.2945098876953, 232.7527770996094, 184.7977600097656, 146.715576171875, 109.0484313964844, 325.7601013183594, 290.482177734375, 255.5601959228516, 199.1106414794922, 237.2706604003906]"
Giske,"[0, 0, 0, 0, 0, 0, 0, 1.394132614135742, 2.001512289047241, 6.804900169372559]"
Gjemnes,"[0, 0, 0, 0, 0.9211365580558777, 4.652090549468994, 18.68211555480957, 52.38046646118164, 91.51370239257812, 24.46664619445801]"
Halsa,"[32.33611679077148, 25.15753936767578, 26, 27.38698768615723, 30.40778160095215, 33.54475021362305, 29.58740043640137, 26.19764518737793, 21.04556846618652, 21.9467601776123]"
Haram,"[-2.789408206939697, -16.66061592102051, -11.03737163543701, -6.68063497543335, -2.254589319229126, -36.63372802734375, -27.2114372253418, -17.94357872009277, -8.858719825744629, -25.44393920898438]"
Hareid,"[101.0077590942383, 32.56649398803711, 36.07548904418945, 42.0142936706543, 46.7408447265625, 19.88012313842773, 14.17082214355469, 8.966031074523926, 2.989641189575195, 0]"
Herøy,"[1.869449615478516, 0.4025279581546783, 0, 1, 1, 0.9559726715087891, 0.9559726715087891, 0.4483027160167694, 0, 1]"
Kristiansund,"[0.1702581346035004, 40.18690872192383, 7.985795021057129, 0, 0, 40.49727249145508, 11.13417530059814, 0.01641159690916538, 14.55934619903564, 30.34818267822266]"
Midsund,"[120.4360809326172, 415.0275268554688, 342.76025390625, 299.6709899902344, 250.7445068359375, 582.00390625, 604.4218139648438, 570.4474487304688, 525.7107543945312, 431.6231994628906]"
Molde,"[1.907356142997742, 35.21025085449219, 26.65205001831055, 17.06776428222656, 9.03834342956543, 88.4300537109375, 78.60253143310547, 68.5464096069336, 61.2791862487793, 126.4611282348633]"
Nesset,"[688.044677734375, 680.2379760742188, 708.8701782226562, 733.4931030273438, 766.1226196289062, 671.379150390625, 697.9075317382812, 708.9353637695312, 719.55078125, 712.2465209960938]"
Norddal,"[20.21759223937988, 52.822509765625, 167.1605072021484, 296.4746398925781, 490.05419921875, 57.10709381103516, 176.2164459228516, 467.1869812011719, 658.6729736328125, 847.546142578125]"
Rauma,"[9.762397766113281, 13.9194221496582, 16.91872215270996, 22.15993309020996, 44.02803421020508, 36.83647537231445, 70.81412506103516, 116.107048034668, 190.7785034179688, 10.53277587890625]"
Rindal,"[101.0141067504883, 111.2023315429688, 117.7827758789062, 121.5195465087891, 77.02188873291016, 81.065673828125, 81.16014862060547, 110.2194519042969]"
Sandøy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Skodje,"[0, 29.95534706115723, 40.78552627563477, 43.75907516479492, 46.38904571533203, 40.68118667602539, 61.00922393798828, 99.17190551757812, 119.2160339355469, 26.76918792724609]"
Smøla,"[11.21354007720947, 13.58942699432373, 10, 9.304564476013184, 14.88683986663818, 10, 9.433635711669922, 9.56729507446289, 10, 10, 10]"
Stordal,"[443.1450805664062, 594.492919921875, 651.946044921875, 745.6148681640625, 879.0803833007812, 786.40478515625, 820.6271362304688, 850.6007690429688, 886.2564697265625, 996.501708984375]"
Stranda,"[75.75308990478516, 4.977920055389404, 0, 0, 0, 0, 0, 0, 0, 0]"
Sula,"[-210.4489288330078, -98.41976165771484, -93.45828247070312, -84.97456359863281, -84.2333984375, -21.09055328369141, -19.47605895996094, -15.78000831604004, -16.12802505493164, 71.27151489257812]"
Sunndal,"[5.376028537750244, 11.03955459594727, 13.03202152252197, 12.68801403045654, 3.481415033340454, 5.278229713439941, 5.481415271759033, 7.696924686431885]"
Surnadal,"[4.86074686050415, 4.399820327758789, 2, 1, 47.67794799804688, 51.17511749267578, 64.21672821044922, 43.00410079956055]"
Sykkylven,"[42.24932861328125, 54.2056999206543, 101.001106262207, 158.8117828369141, 203.5335693359375, 90.63265228271484, 203.0410461425781, 346.8845520019531, 369.0657653808594, 166.7592926025391]"
Tingvoll,"[21.54354095458984, 85.61865997314453, 71.50130462646484, 59.58370590209961, 56.61551284790039, 152.0129089355469, 143.0571899414062, 144.9785461425781, 138.7019653320312, 266.9069213867188]"
Ulstein,"[0, 0, 0, 0, 3.175889015197754, 4.13693904876709, 10.00471210479736, 22.70769882202148, 37.73899459838867, 103.7492065429688]"
Vanylven,"[0, 0, 1.623757243156433, 10.26441478729248, 22.3966007232666, 0, 0, 0, 0, 0]"
Vestnes,"[1.947596549987793, 27.45319747924805, 28.16882705688477, 0.7367271184921265, 0, 19.45063781738281, 13.57893848419189, 5.857677459716797, 0, 0]"
Volda,"[0, 0, 16.85417747497559, 46.75693893432617, 60.17222213745117, 10.21374320983887, 25.2114200592041, 39.98711776733398, 51.5563850402832, 57.58921813964844]"
Ørskog,"[8.861618041992188, 97.44234466552734, 252.1175384521484, 256.53564453125, 232.1527099609375, 18.87765502929688, 33.55097579956055, 42.01914215087891, 51.74106979370117, 0]"
Agdenes,"[-14.27823638916016, -15.36999034881592, -17.83612632751465, -22.00651931762695, -36.87921142578125, -38.84844970703125, -36.29397964477539, -31.524658203125, -25.26916122436523]"
Bjugn,"[0, 0, 0, 0, 0, 66.17847442626953, 35.02201461791992, 25.87457847595215, 43.65948486328125, 21.5460319519043]"
Flatanger,"[200.5679931640625, 179.6187286376953, 136.4880065917969, 95.95370483398438, 62.70768356323242, 126.9388885498047, 47.34067153930664, 3.751038789749146, 0, 0]"
Fosnes,"[198.9837646484375, 198.5185546875, 198.4518890380859, 207.9853668212891, 178.7471618652344, 95.72685241699219, 112.9703826904297, 128.9121856689453, 137.2215423583984, 85.1601333618164]"
Frosta,"[43.90368270874023, 44.54982376098633, 57.63533782958984, 69.92615509033203, 53.66490173339844, 45.17855834960938, 85.84394836425781, 67.94544219970703, 60.07741546630859]"
Frøya,"[18.96205902099609, 15.71282958984375, 3.469752550125122, -0.003996421582996845, 24.17119407653809, 12.23440837860107, 1.259303331375122, 0, -0.005887374747544527]"
Grong,"[59.67855453491211, 62.31208038330078, 61.9460563659668, 60.71006011962891, 54.20701599121094, 38.34461212158203, 39.75845718383789, 42.09445190429688, 44.46451568603516, 46.40705871582031]"
Hemne,"[5.092070579528809, 0, 0, 0, 32.69167327880859, 2.464127540588379, 0.8135965466499329, 0, 0]"
Hitra,"[42.07753372192383, 43.08484649658203, 31.91690254211426, 21.57069206237793, 65.68976593017578, 79.8729248046875, 68.55484008789062, 45.26710891723633, 36.30419921875]"
Holtålen,"[394.6324462890625, 391.6860046386719, 389.119873046875, 382.2944641113281, 358, 360, 366.5478210449219, 379.3002624511719]"
Høylandet,"[64.94739532470703, 57.83206558227539, 55.01681900024414, 54.79305648803711, 54.22013854980469, 85.60465240478516, 77.5418701171875, 66.45455169677734, 61.86484527587891, 59.61848068237305]"
Inderøy,"[15.24795627593994, 5.68729305267334, 0, 0, 2.876852750778198, 21.23384475708008, 19.24904251098633, 18.04437828063965, 15.76615619659424, 13.83739852905273]"
Indre Fosen,"[383.14111328125, 382.453125, 415.512451171875, 403.689453125, 330.1040649414062, 382.3402709960938, 399.4217529296875, 412.4058227539062, 402.6976318359375]"
Klæbu,"[213.954833984375, 335.712646484375, 362.846435546875, 326.6221008300781, 214.7425384521484, 225.6735076904297, 248.1321868896484, 267.2408752441406, 261.3804931640625]"
Leka,"[77.469970703125, 74.16970825195312, 84.64464569091797, 90, 76.90899658203125, 56.06637954711914, 43.74182510375977, 30.96187782287598, 58.5326042175293, 50.06258010864258]"
Levanger,"[3.140923261642456, 0, 0.6003057360649109, 0.4105954170227051, 0.9839164018630981, 36.29509735107422, 27.33320808410645, 22.22647857666016, 12.5821647644043, 0]"
Lierne,"[579.6139526367188, 576.6139526367188, 579.4876098632812, 595.5882568359375, 604.2391967773438, 624.545166015625, 630.4298706054688, 637.4653930664062, 640.7832641601562, 636.3850708007812]"
Malvik,"[6.731208324432373, 4.12057638168335, 10.25632858276367, 26.05684280395508, 0, 0, 4.344222068786621, 18.4586067199707, 44.67359161376953]"
Meldal,"[319.6332397460938, 359.8331604003906, 420.3598937988281, 471.5997924804688, 323.7047729492188, 356.3793334960938, 444.221435546875, 522.797607421875]"
Meråker,"[128.1128540039062, 161.0040740966797, 185.8979339599609, 210.1170959472656, 120.2563934326172, 126.3825302124023, 138.0333709716797, 155.0374450683594, 179.9311370849609]"
Midtre Gauldal,"[361.1535949707031, 315.1748046875, 259.7462463378906, 396.0130920410156, 408.2942504882812, 328.9075317382812, 250.6508026123047, 313.030029296875]"
Namsos,"[11.13118076324463, 7.753736019134521, 1.721748828887939, 2.67971658706665, 3.529228448867798, 70.29429626464844, 40.65742111206055, 13.93988513946533, 14.90736865997314, 16.89023208618164]"
Namsskogan,"[298.3707885742188, 271.4396362304688, 253.4217987060547, 237.1632080078125, 217.4122772216797, 228.6337738037109, 217.1286010742188, 211.3579254150391, 207.6235504150391, 202.0702056884766]"
Oppdal,"[553.472412109375, 554.7086181640625, 552.2930908203125, 551.472412109375, 571.3697509765625, 571.2464599609375, 568.964599609375, 565.2427978515625]"
Selbu,"[169.9290618896484, 170.4642333984375, 170.2310791015625, 177.6425476074219, 179.39990234375, 181.0939483642578, 192.4212951660156, 212.7145233154297]"
Trondheim,"[12.82643890380859, 12.73662662506104, 11.43701839447021, 12.46210193634033, 0, 0, 2.889312982559204, 0.2782454192638397, 6.414092540740967]"
Tydal,"[867.765869140625, 849.466796875, 832.0680541992188, 810.219482421875, 800.40673828125, 778.0848388671875, 760.6064453125, 745.616455078125]"
Verdal,"[0.0732608437538147, 2, 3.777258634567261, 5.636314868927002, 7.495370864868164, 1.07326078414917, 3.900514841079712, 5.742185592651367, 8, 9.386250495910645]"
Ørland,"[14.37420177459717, 15.12562847137451, 15.13890933990479, 16.4373664855957, 10.50088596343994, 12.88818740844727, 18.5440559387207, 16.39867401123047, 15.79879665374756, 9.604806900024414]"
Alstahaug,"[11.28792190551758, 14.1802225112915, 13.60190200805664, 12.1802225112915, 10.95105743408203, 25.19737434387207, 40.50834655761719, 18.44099426269531, 20.00564575195312, 16.53731727600098]"
Andøy,"[7, 5.182317733764648, 4, 3, 2, 5, 3, 1.801859617233276, 1, 0]"
Ballangen,"[0, 0, 0, 0, 0.3941592574119568, 0, 0, 0, 0, 0]"
Beiarn,"[41.32585906982422, 21.58858680725098, 32.32000732421875, 18.32320594787598, 4.205325126647949, 201.4895477294922, 170.6180114746094, 133.8393707275391, 93.0373764038086, 24.36151123046875]"
Bindal,"[200.7809753417969, 113.9034042358398, 3.810892581939697, 0, 0, 58.86956787109375, 1.366271495819092, 0, 0, 0]"
Bodø,"[6, 7, 7.660199642181396, 8.660200119018555, 7.660199642181396, 1.834777474403381, 2.834777355194092, 2.834777355194092, 3.834777355194092, 5.361630439758301]"
Brønnøy,"[0.269601434469223, 1, 1, 1, 1, 0, 0, 1, 1, 1]"
Brønnøysund - kystlinjen,"[0, 1, 0, 0.1470431685447693, 0, 0, 0, 1, 0.9764074683189392, 0.9795312881469727]"
Dønna,"[80.50933837890625, 104.9048156738281, 120.1431655883789, 97.31121826171875, 58.49232482910156, 98.71166229248047, 80, 80.31607818603516, 114.2001190185547, 105.0108642578125]"
Evenes,"[125.1460952758789, 118.5763778686523, 118.7905120849609, 123.0659561157227, 137.5110168457031, 108.4259033203125, 147.5460662841797, 161.3385314941406, 169.6410369873047, 191.4941253662109]"
Fauske,"[0, 0, 0, 0, 0, 19.60506057739258, 11.47915267944336, 5.336509704589844, 0, 0]"
Flakstad,"[0, 0, 5.20689868927002, 27.89822006225586, 86.20738983154297, 0.4008802473545074, 2.157122850418091, 11.87129878997803, 19.64560317993164, 24.58492279052734]"
Gildeskål,"[-67.44287109375, -38.81168365478516, -13.35791015625, -1.523348808288574, 0, -78.78913116455078, -44.03914642333984, -14.6805305480957, -1.533600091934204, 0.4599895477294922]"
Grane,"[225.4857025146484, 202.0957489013672, 178.3617858886719, 158.2783203125, 158.1333465576172, 200.8907318115234, 168.2998657226562, 140.4321136474609, 113.1925735473633, 92.83729553222656]"
Hadsel,"[0, 0, 0, 0, 0, 2.066132307052612, 0, 0, 0, 0]"
Hamarøy,"[11.1668529510498, 12.78012371063232, 15.30267524719238, 10.80429553985596, 0.8691953420639038, 41.05856323242188, 52.58511352539062, 65.90838623046875, 67.11969757080078, 52.02120971679688]"
Hattfjelldal,"[285.6289367675781, 311.4995422363281, 303.221435546875, 288.2928161621094, 277.2118835449219, 330.3433227539062, 344.3115844726562, 343.5963134765625, 322.732421875, 281.2546997070312]"
Hemnes,"[821.3294067382812, 771.4380493164062, 723.2474365234375, 701.269287109375, 683.8682250976562, 761.7771606445312, 726.3894653320312, 678.6380615234375, 629.336181640625, 581.9117431640625]"
Leirfjord,"[159.86279296875, 150.0502319335938, 124.2214202880859, 111.4546279907227, 105.6117935180664, 189.2330322265625, 259.7036743164062, 262.3652648925781, 225.2711639404297, 191.8587799072266]"
Lurøy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lurøy - på fastlandet,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lødingen,"[20, 9.639348983764648, 0, 0, -0.2109117209911346, 49.40174865722656, 26.68032073974609, 10.00541114807129, 0.6013243794441223, 0]"
Meløy,"[0, 0, 1.257980823516846, 19.77859497070312, 29.65829658508301, 0, 0, 0, 0, 0]"
Moskenes,"[230.3581085205078, 227.1710052490234, 227, 228.5986633300781, 268.9559936523438, 227.6612396240234, 227, 227, 277.3411560058594, 418.42529296875]"
Narvik,"[62.51155471801758, 75.60407257080078, 82.55010986328125, 89.9911880493164, 96.27401733398438, 36.41176605224609, 48.87568664550781, 51.0667610168457, 38.34470367431641, 31.16918182373047]"
Nesna,"[0.1110019087791443, 0.06041153147816658, 0, 0, 0, 0, 0, 0, 0, 0]"
Rana,"[31.45290565490723, 40.06868362426758, 41, 41.66101837158203, 40.66101837158203, 15.8191556930542, 21.67169380187988, 33.9327392578125, 41.39425659179688, 43.51355743408203]"
Rødøy,"[161.1621398925781, 147.2315979003906, 116.7848052978516, 108.7668075561523, 42.99069976806641, 61.78117370605469, 48.27392578125, 24.70490455627441, 52.61676406860352, 41.35557174682617]"
Røst,"[1, 1, 0, 1, 1, 1, 1, 0.3203845024108887, 1, 1]"
Saltdal,"[569.8703002929688, 583.8596801757812, 586.8526000976562, 597.378173828125, 614.1262817382812, 547.5993041992188, 558.304931640625, 573.0707397460938, 598.8092041015625, 600.7428588867188]"
Sortland,"[23.21447944641113, 14.44931602478027, 1.727757096290588, 0, 0, 22.61343765258789, 13.12301254272461, 1.111001133918762, 0, 0]"
Steigen,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sømna,"[17.28942680358887, 21.05840492248535, 42.93272018432617, 84.2200698852539, 115.0807266235352, 20.58596038818359, 20.42996406555176, 46.68022918701172, 90.8643569946289, 153.5132904052734]"
Sørfold,"[104.632438659668, 123.3069000244141, 99.62091064453125, 88.62419128417969, 79.31269073486328, 89.92620849609375, 150.1636199951172, 171.01708984375, 133.2857208251953, 101.7177886962891]"
Tjeldsund,"[447.294921875, 442.6953125, 427.0724182128906, 415.6658935546875, 406.9278869628906, 660.4967651367188, 635.0940551757812, 621.8864135742188, 623.395263671875, 618.6910400390625]"
Træna,"[0, 6.37840461730957, 20.42856979370117, 14.9200439453125, 10.24746704101562, 0, 0, 0, 0.2034671753644943, 1.801153063774109]"
Tysfjord,"[433.4299011230469, 389.7472839355469, 346.5874633789062, 293.2185974121094, 242.4352264404297, 410.8090209960938, 384.623779296875, 336.0367431640625, 280.8353576660156, 231.2521057128906]"
Vefsn,"[0, 0, 0, 0.9080950021743774, 0.9080950021743774, 0, 0, 0, 0, 8.465478897094727]"
Vefsn - langs fjorden,"[0, 0, 0, 0.9080950021743774, 0.9080950021743774, 0, 0, 0, 0, 8.465478897094727]"
Vefsn - Mosjøen,"[423.5789184570312, 243.7244415283203, 70.8890151977539, 0.08663905411958694, 0.7117208242416382, 350.8201599121094, 238.4639434814453, 60.56577301025391, 0, 0]"
Vega,"[23, 23, 23, 23, 22.28933715820312, 23.45299339294434, 23, 23, 23, 23]"
Vestvågøy,"[0.4467890560626984, 5.037282466888428, 0.1678399592638016, 0, 0, 135.8221740722656, 204.2746887207031, 165.8614654541016, 108.2340469360352, 78.22947692871094]"
Vevelstad,"[-26.96645736694336, -44.49840927124023, -62.44483184814453, -71.45103454589844, -71.62212371826172, -5.56690788269043, -24.00564384460449, -45.45806884765625, -59.93624114990234, -67.44155883789062]"
Værøy,"[0.8018817901611328, 2.673645734786987, 9.91623592376709, 19.12368392944336, 20.94536590576172, 2.272812604904175, 16.58485221862793, 46.68699264526367, 128.0574951171875, 21.64972686767578]"
Vågan,"[580.7520141601562, 627.701904296875, 684.4016723632812, 715.6172485351562, 661.3533935546875, 541.8687744140625, 635.1796875, 745.4783935546875, 773.1611328125, 639.8965454101562]"
Øksnes,"[14.44836330413818, 10.10051345825195, 10, 10, 10, 13, 10.98050498962402, 9, 7, 8.962934494018555]"
Balsfjord,"[95.36124420166016, 73.94989776611328, 58.10794067382812, 39.36297607421875, 22.75870513916016, 104.5586395263672, 71.62549591064453, 56.97823715209961, 39.52567291259766, 18.26472282409668, 116.8752899169922]"
Bardu,"[79.33782196044922, 59.96914672851562, 59, 59, 60.96914672851562, 75.99706268310547, 66.51199340820312, 59.32630157470703, 58.14372634887695, 58.14372634887695, 116.1352767944336]"
Berg,"[2.941631317138672, 2.643463134765625, 11.00915145874023, 25.31192588806152, 43.91280364990234, 100.0917510986328, 122.4231567382812, 135.4374084472656, 159.9998016357422, 156.1239471435547]"
Dyrøy,"[20.04486656188965, 21.52372741699219, 17.38858795166016, 20.35404586791992, 28.56600379943848, 31.8283519744873, 30.92851829528809, 32.13241577148438, 33.61901092529297, 35.58181762695312]"
Gáivuona/Kåfjord,"[619.8458251953125, 751.3798828125, 610.0306396484375, 538.4246826171875, 474.037841796875, 433.6103210449219, 518.76123046875, 441.3211975097656, 380.5572204589844, 339.6056213378906, 318.9811401367188, 365.5365600585938, 318.5428161621094]"
Gratangen,"[705.7550048828125, 614.0655517578125, 554.203369140625, 515.7532348632812, 486.8659057617188, 797.3038940429688, 683.534912109375, 606.2365112304688, 563.5125732421875, 528.1513061523438]"
Harstad,"[80.21568298339844, 63.44866561889648, 44.12449645996094, 17.59612083435059, 8.4401216506958, 113.0704116821289, 63.05678939819336, 47.30411529541016, 32.47649383544922, 16.5180721282959]"
Ibestad,"[244.4953155517578, 219.7205657958984, 193.9749755859375, 215.6637725830078, 178.5961303710938, 227.0396728515625, 197.5751190185547, 169.8022766113281, 161.8208618164062, 180.1178283691406]"
Karlsøy,"[-188.3726959228516, -125.7305526733398, -136.6793365478516, -149.3211669921875, -163.0010375976562, -177.4488983154297, -118.1269760131836, -125.4042510986328, -137.7350921630859, -152.1212921142578, -167.0041961669922, -115.6772689819336, -118.086311340332]"
Kvæfjord,"[149.7731170654297, 149.7731170654297, 150.1390533447266, 147.7254943847656, 140.9678344726562, 181.7754058837891, 175.7686309814453, 162.8539123535156, 160, 161.2027587890625]"
Kvænangen,"[45.94253540039062, 17.82563972473145, 15.49538326263428, 19.48270034790039, 20, 14.11156940460205, 1.181871175765991, 0, 0.05556646734476089, 2.634869337081909, 0, 0]"
Lavangen,"[341.3285827636719, 352.3332824707031, 358.5636901855469, 331.5206298828125, 303.4001159667969, 378.4876708984375, 378.9776306152344, 358.9583740234375, 335.4408264160156, 301.2767944335938]"
Lenvik,"[201.6220703125, 194.6212768554688, 186.8253784179688, 180.5931396484375, 179.3457946777344, 241.0643157958984, 259.5569458007812, 260.3335876464844, 259.1753845214844, 250.6944732666016]"
