Municipality,SWE
Lærdal,"[31.899999618530273, 31.700000762939453, 79.70000457763672, 220.10000610351562]"
Naustdal,"[9.90000057220459, 21.600000381469727, 34.60000228881836, 40.79999923706055]"
Selje,[nan]
Sogndal,"[31.30000114440918, 26.100000381469727, 60.10000228881836, 72.4000015258789]"
Fjærland og Sogndalsdalen,[nan]
Solund,"[20.899999618530273, 58.5, 37.900001525878906, 38.900001525878906]"
Stryn,"[36.79999923706055, 99.0, 88.80000305175781, 83.30000305175781]"
Vik,"[37.79999923706055, 114.0, 231.3000030517578, 166.60000610351562]"
Vågsøy,"[3.1000001430511475, 62.5, 49.70000076293945, 79.80000305175781]"
Aukra,"[19.80000114440918, 128.10000610351562, 104.0999984741211, 211.60000610351562]"
Aure,"[23.0, 48.70000076293945, 156.1999969482422, 130.3000030517578]"
Averøy,"[18.200000762939453, 26.100000381469727, 87.80000305175781, 71.20000457763672]"
Eide,"[69.9000015258789, 84.5999984741211, 158.8000030517578, 157.0]"
Fræna,"[53.60000228881836, 127.30000305175781, 155.0, 205.3000030517578]"
Giske,[nan]
Gjemnes,"[23.80000114440918, 50.20000076293945, 85.0999984741211, 74.5999984741211]"
Halsa,"[27.700000762939453, 62.900001525878906, 127.9000015258789, 107.20000457763672]"
Haram,[nan]
Hareid,"[9.100000381469727, 75.4000015258789, 68.80000305175781, 111.0999984741211]"
Herøy,"[23.100000381469727, 58.29999923706055, 107.5, 109.0]"
Kristiansund,"[18.100000381469727, 30.0, 75.0, 63.900001525878906]"
Midsund,"[11.300000190734863, 186.6999969482422, 186.5, 227.10000610351562]"
Molde,"[27.0, 171.60000610351562, 149.6999969482422, 217.60000610351562]"
Nesset,"[1361.9000244140625, 440.8999938964844, 1696.9000244140625, 950.6000366210938]"
Norddal,"[1024.0, 562.1000366210938, 1077.800048828125, 620.7999877929688]"
Rauma,"[103.30000305175781, 58.5, 155.60000610351562, 153.3000030517578]"
Rindal,"[87.0999984741211, 63.5, 248.1999969482422, 255.90000915527344]"
Sandøy,[nan]
Skodje,"[9.0, 72.4000015258789, 106.70000457763672, 132.1999969482422]"
Smøla,"[5.5, 61.70000076293945, 40.20000076293945, 97.80000305175781]"
Stordal,"[290.1000061035156, 208.6999969482422, 764.4000244140625, 650.1000366210938]"
Stranda,"[26.600000381469727, 50.29999923706055, 283.8999938964844, 100.80000305175781]"
Sula,[nan]
Sunndal,"[117.9000015258789, 53.70000076293945, 182.1999969482422, 400.3000183105469]"
