Municipality,Latitude,Longitude,Beta
Åseral,58.61865,7.42083,0.7724585802704165
Bjerkreim,58.6458,6.0731,1.1910921295002934
Bokn,59.217,5.45,0.3491596763868463
Eigersund,58.451,6.0048,0.44960906813274004
Finnøy,59.1667,5.8333,0.6706028044972614
Forsand,58.9078,6.238,1.119151264903718
Gjesdal,58.77,6.08,1.0604117783715368
Haugesund,59.417,5.27952,0.31099071100886366
Hjelmeland,59.23,6.18,0.8716641759186401
Hå,58.6167,5.65,0.5568666966063116
Karmøy,59.2833,5.3,0.5026190438844136
Klepp,58.77,5.63,0.0924843517319287
Kvitsøy,59.0667,5.4167,0.24241493635938482
Lund,58.4667,6.55,0.6241485758587357
Randaberg,58.9833,5.6167,0.3449406873108156
Sandnes,58.8524,5.7352,0.4036470841851232
Sauda,59.65,6.35,1.579769286689857
Sokndal,58.3467,6.2896,0.6405615036772776
Sola,58.8887,5.65,0.33960404466557037
Stavanger,58.969,5.7331,0.6410027475771072
Strand,59.0222,6.04,0.4256980365575096
Suldal,59.48625,6.25623,1.2589628807409978
Time,58.725,5.73,0.6432989936363551
Tysvær,59.4,5.5,0.24150981620161804
Vindafjord,59.6,5.95,0.4304323351521555
Askøy,60.4,5.0,0.8039151492727576
Austrheim,60.7773,4.93244,0.2856917741948468
Bergen,60.39035,5.3177,0.5022908345008235
Bømlo,59.8,5.2,0.3440737394023552
Eidfjord,60.35153,7.35181,-0.4934589403113572
Etne,59.7,5.9,0.5525415831298761
Fedje,60.76451,4.72341,0.49576709480815495
Fitjar,59.92343,5.32846,0.08189841542479659
Fusa,60.2,5.7,1.2767115668481424
Granvin,60.5,6.7,0.6995440325223674
Jondal,60.3,6.3,0.34338465254325845
Kvam,60.4,6.1,-0.45062073067481245
Kvinnherad,59.9,6.0,-0.4716114916043721
Lindås,60.7,5.3,0.38179051014667653
Masfjorden,61.0,5.3,1.6239108702252656
Meland,60.6,5.0,0.5793356516220527
Modalen,60.8,5.7,-0.5286997188245319
Odda,60.1,6.5,-0.5376217758564836
Os,60.2,5.5,1.2260078168972264
Osterøy,60.5,5.6,-0.05269210636085209
Voss,60.6,6.4,0.33645703524608983
Øygarden,60.36319,5.11867,0.6887647168422948
Ullensvang,60.06699,6.54544,0.8314586385503002
Alver,60.55122,5.28939,0.6266928359441035
Vaksdal,60.5917,5.82262,0.3341523110875504
Samnanger,60.39245,5.77437,0.5263226013987463
Ulvik,60.5731,6.92183,0.9851585040290689
Sveio,59.54494,5.35543,0.4226161201144514
Stord,59.78143,5.49527,0.39955196686031336
Tysnes,59.99905,5.49951,0.12870100950624686
Askvoll,61.3483,5.0736,1.243397578852747
Aurland,60.9064,7.1949,0.9734226330654305
Bremanger,61.76794,5.29806,1.3455606118305186
Stad,61.9104,5.9987,0.8943113586969478
Fjaler,61.3669,5.4127,1.1775393828725775
Kinn,61.59204,5.01032,1.0741731277009698
Førde,61.4526,5.8621,1.4423218408137979
Gaular,61.3954,5.9553,-0.30736164715721204
Gloppen,61.76946,6.23015,1.2592196447253805
Gulen,60.9847,5.2058,1.03766890456076
Hornindal,62.0094,6.5231,-0.198817091873988
Hyllestad,61.2804,5.3018,2.0560455710781054
Høyanger,61.2165,6.0812,1.6282259527186738
Jølster,61.5708,6.2531,-0.09398521140906357
Leikanger,61.1844,6.8476,1.0320897873583128
Luster,61.4979,7.3292,-0.08969640299309711
