Municipality,Latitude,Longitude,Beta,Char
Overhalla,64.49428,11.94327,3.9413269320194515,5.5
Rosse - Røros,62.57561,11.38178,4.649816307353996,4.5
Raarvihke - Røyrvik,64.89123,13.5578,3.6268962750466325,8.0
Snåase - Snåsa,64.24588,12.38517,3.6970789560359845,4.0
Alstahaug,65.9442,12.4703,4.238050162608999,3.5
Andøy,69.3,16.1333,3.5168945346806013,4.5
Ballangen,68.3417,16.8333,4.458201211826979,4.5
Beiarn,67.0333,14.5667,3.6657214470647066,4.5
Bindal,65.08718,12.37237,3.81909577996194,4.0
Bodø,67.2804,14.4049,4.721616530651423,4.5
Brønnøy,65.46598,12.20515,3.894433545768694,4.0
Dønna,66.0667,12.5167,3.5241552105101284,3.0
Evenes - Evenášši,68.5,16.7667,3.2840691383701035,4.5
Fauske - Fuossko,67.2583,15.3906,4.236701297780131,4.5
Flakstad,68.1,13.25,3.28603229548977,4.0
Gildeskål,67.0333,14.0167,4.183166035262856,4.0
Grane,65.5667,13.3833,4.396656439212774,7.5
Hadsel,68.5592,14.90259,3.617792708070283,4.0
Hábmer - Hamarøy,68.0833,15.6333,3.8564511484149375,4.0
Aarborte - Hattfjelldal,65.59828,13.99871,4.269966907134181,9.0
Hemnes,66.2167,14.1,3.477536429148648,9.0
Leirfjord,66.0833,12.8833,3.5924629412857176,5.0
Lurøy,66.37527,13.1292,2.396450272154229,5.0
Lødingen,68.4083,15.9933,3.961316959001753,4.5
Meløy,66.87464,13.71313,4.021571223503707,4.0
Moskenes,67.9167,13.0,2.70285621815387,6.0
Narvik,68.4385,17.4279,3.4203747101644857,4.5
Nesna,66.1961,13.0194,3.6833909059304517,4.0
Rana,66.3106,14.1428,3.753678824027385,5.0
Rødøy,66.71277,13.29149,4.964671825201991,4.0
Saltdal,66.8667,15.3667,4.077244974587842,9.5
Sortland - Suortá,68.69728,15.39786,3.801898345015458,5.0
Steigen,67.7833,15.0,3.980064920716537,4.0
Sømna,65.3167,12.1833,4.135342643593085,4.0
Sørfold,67.3833,15.6333,3.898193737623189,4.5
Dielddanuorri - Tjeldsund,68.5833,16.3667,3.0481867298727523,8.5
Tysfjord,68.1833,16.0,4.131658363173284,6.5
Vefsn,65.8667,13.1833,3.817426463883164,5.0
Vefsn - langs fjorden,65.8667,13.1833,3.4429815592952018,4.0
Vefsn - Mosjøen,65.8358,13.1903,3.5416348385126026,4.0
Vega,65.6833,11.9333,3.166508587337582,2.5
Vestvågøy,68.25,13.6,3.0115668998519,4.0
Vevelstad,65.65799,12.43707,2.749278896464999,9.5
Værøy,67.6667,12.6833,2.6180409085356886,1.5
Vågan,68.2833,14.5667,2.968834092802392,9.0
Øksnes,68.9167,15.1667,3.4358902974484353,4.5
Balsfjord,69.2403,19.2186,4.054972160158371,5.5
Bardu,68.8667,18.35,3.615897186240529,5.0
Dyrøy,69.0928,17.7083,3.5003538182718987,5.0
Gáivuotna - Kåfjord - Kaivuono,69.4667,20.6333,3.900017314413857,9.0
Gratangen,68.6167,17.5,3.730662947793799,10.0
Harstad - Hárstták,68.7983,16.5414,3.770524533519306,5.0
Ibestad,68.7833,17.1,3.7352551914524343,6.0
Karlsøy,69.96286,19.61316,3.4396063024214483,5.0
Kvæfjord,68.7667,16.3167,3.583482038740953,6.0
Kvænangen,69.9333,22.0333,3.524350880132937,4.5
Loabák - Lavangen,68.7667,17.7,3.8353178311513885,7.0
Lenvik,69.3667,17.95,3.4448174250373307,7.0
Lyngen,69.5792,20.2083,2.8948490618153895,5.0
Målselv,69.1,18.6,3.8308947493707692,5.0
Nordreisa - Ráisa - Raisi,69.75,21.0333,3.3524203586931747,5.0
Salangen,68.9167,17.8333,3.8683784033288284,8.0
Skjervøy,69.9677,20.83246,3.5770770444236395,10.5
Storfjord - Omasvuotna - Omasvuono,69.3833,19.9833,4.064069313639303,8.0
Sørreisa,69.1461,18.1564,3.8764119437173177,5.5
Senja,69.29636,17.60989,3.568776753962949,8.0
Tranøy,69.2,17.4167,3.207770542729428,5.5
Tromsø,69.6723,18.94543,3.4973741265395324,6.0
Alta,69.9689,23.2717,4.017126646920635,4.5
Berlevåg,70.8578,29.0861,3.3465090403061613,4.0
Båtsfjord,70.6333,29.7333,3.410355492597217,4.0
Deatnu - Tana,70.19991,28.17052,4.84949216668763,4.0
Gamvik,71.05,28.2333,3.996684386238438,4.5
Guovdageaidnu - Kautokeino,69.0111,23.0417,5.104529702278097,4.0
Hammerfest - Hámmerfeasta,70.6634,23.6821,3.258241512692998,5.0
Hasvik,70.58593,22.29272,2.6669747835288464,5.0
Kárášjohka - Karasjok,69.4719,25.5114,5.128652849315735,4.0
Kvalsund,70.5075,24.0072,3.4534480147729996,5.0
Lebesby,70.5833,27.0,4.034823754106274,4.5
Loppa,70.25,22.35,3.5466942717332923,6.0
Måsøy,71.0,24.6667,3.2313777152550545,5.0
Nordkapp,71.1667,25.7833,3.0502971965220063,6.0
Porsanger - Porsáŋgu - Porsanki,70.0519,24.9719,4.534186170672606,4.5
Sør-Varanger,69.6667,29.9833,4.971278030119408,4.0
Unjárga - Nesseby,70.1492,28.8661,5.09922202140587,4.0
Vadsø,70.07771,29.75464,4.177206442860176,4.0
