Municipality,Latitude,Longitude,Beta,Char
Austrheim,60.7773,4.93244,5.986840022059404,1.5
Bømlo,59.8,5.2,6.555803868793232,1.5
Eidfjord,60.35153,7.35181,5.233910438189598,14.0
Etne,59.7,5.9,7.188353680175086,4.0
Fedje,60.76451,4.72341,6.30276467638262,1.5
Fitjar,59.92343,5.32846,6.181277333946125,1.5
Fusa,60.2,5.7,7.301391602662075,4.0
Granvin,60.5,6.7,1.0,5.0
Jondal,60.3,6.3,4.632160642227645,2.5
Kvam,60.4,6.1,4.601768907416306,8.5
Kvinnherad,59.9,6.0,5.409672981958426,5.0
Lindås,60.7,5.3,7.229644150102228,2.5
Masfjorden,61.0,5.3,1.0,7.0
Meland,60.6,5.0,5.940786586224115,1.5
Modalen,60.8,5.7,5.0103268468806945,9.0
Odda,60.1,6.5,4.936296565993449,10.5
Os,60.2,5.5,6.559074379191286,2.5
Osterøy,60.5,5.6,5.746938708212623,4.5
Voss,60.6,6.4,1.0,7.0
Øygarden,60.36319,5.11867,5.791029882290019,1.5
Ullensvang,60.06699,6.54544,5.661324550264522,2.5
Alver,60.55122,5.28939,8.101344337695352,2.5
Vaksdal,60.5917,5.82262,5.974180307072447,3.5
Samnanger,60.39245,5.77437,5.914088100079129,3.0
Ulvik,60.5731,6.92183,6.293849099783,3.0
Sveio,59.54494,5.35543,7.026013929306323,2.0
Stord,59.78143,5.49527,6.636771612107539,2.0
Tysnes,59.99905,5.49951,6.4139541666404725,2.0
Askvoll,61.3483,5.0736,6.68012632632776,2.5
Aurland,60.9064,7.1949,7.186296774209849,2.5
Bremanger,61.76794,5.29806,5.296895798547276,2.5
Stad,61.9104,5.9987,6.816508140404303,4.0
Fjaler,61.3669,5.4127,6.751906600843356,4.0
Kinn,61.59204,5.01032,7.381567998774299,2.5
Førde,61.4526,5.8621,6.3234809858522025,3.5
Gaular,61.3954,5.9553,6.533965260240929,8.0
Gloppen,61.76946,6.23015,6.913525694117416,3.5
Gulen,60.9847,5.2058,8.790778212077832,4.5
Hornindal,62.0094,6.5231,4.920178676549713,7.5
Hyllestad,61.2804,5.3018,7.182885164578062,4.5
Høyanger,61.2165,6.0812,4.991707711999157,2.5
Jølster,61.5708,6.2531,4.652306942729051,7.5
Leikanger,61.1844,6.8476,7.935807692209104,2.5
Luster,61.4979,7.3292,1.0,13.0
Lærdal,61.0992,7.4786,8.213327327563599,2.5
Naustdal,61.5092,5.7271,6.2016540956263695,3.0
Sogndal,61.229,7.1034,7.72221066196792,2.5
Solund,61.0918,4.8324,6.274477361396681,2.0
Stryn,61.9018,6.7208,5.882186555636276,3.5
Vik,61.0674,6.5857,6.518194923131934,2.5
Vågsøy,61.9357,5.1111,7.7013658829656775,2.5
Årdal,61.23825,7.72024,8.63460858347313,3.5
Sunnfjord,61.4929,5.54849,7.181963917591418,4.5
Aukra,62.7922,6.9069,7.769479670379015,3.0
Aure,63.2714,8.5233,7.19041272139258,4.5
Averøy,63.0338,7.4897,7.068146796924755,3.5
Hustadvika,62.9163,7.3958,5.9978691392563634,3.5
Fræna,62.8851,7.1286,7.098260373369601,4.5
Giske,62.50491,6.0465,7.765389721187116,3.0
Gjemnes,62.9667,7.7852,6.688611109262577,4.5
Halsa,63.0694,8.2603,6.913765431697606,4.5
Haram,62.59971,6.4387,7.648205453794631,2.5
Hareid,62.3667,6.025,6.749551966551196,3.0
Herøy,65.9917,12.2833,5.692799746839013,2.5
Kristiansund,63.1104,7.7279,6.828627316549167,3.5
Midsund,62.6766,6.7265,1.0,6.0
Molde,62.7375,7.1591,7.681705541491729,3.5
Nesset,62.7325,8.1725,5.13674230384989,10.5
Norddal,62.2631,7.2497,1.0,7.5
Rauma,62.5667,7.7,7.3576901808776585,4.5
Rindal,63.05,9.2,6.4613676100766595,4.5
Smøla,63.44,8.0,6.389667096276516,2.5
Stordal,62.3833,7.25,1.0,11.5
Stranda,62.3167,6.9333,1.0,4.5
Sula,61.1159,4.96715,8.88718692690083,4.0
Sunndal,62.6667,8.5667,6.835234684379792,4.5
Surnadal,62.9833,8.7333,6.1353797781172155,4.5
Sykkylven,62.3833,6.5833,1.0,5.5
Tingvoll,62.9167,8.2,6.656436416770427,4.5
Ulstein,62.346,5.844,6.878951087595283,3.0
Vanylven,62.10641,5.56983,6.442050409233696,3.0
Vestnes,62.62959,7.08469,7.7376459856487365,3.5
Volda,62.1444,6.0736,7.184918407233305,4.0
