Municipality,Latitude,Longitude,Beta,Char
Tinn,59.8663,8.6172,3.7999993840944937,5.4527723908514885
Tokke,59.4481,8.0267,3.800000788872727,3.002100433214201
Vinje,59.5825,7.9769,3.8000000741175395,4.920765134933689
Midt-Telemark,59.41307,9.06626,3.8000011046523343,3.0347344666606326
Arendal,58.4615,8.7725,3.8000006267086675,2.53510492301985
Birkenes,58.3725,8.2375,3.800000335435938,4.358431489998664
Bygland,58.83,7.8,3.7999999637581183,2.8878291465159105
Bykle,59.35,7.35,3.7999996487417116,7.736345095381822
Evje og Hornnes,58.56,7.8,3.800000814462995,2.8681313334467027
Froland,58.5186,8.6386,3.799999264392607,4.495832413992037
Gjerstad,58.88,9.0,3.79999908307074,4.366718263682101
Grimstad,58.34,8.5934,3.7999993992030836,2.4919943531758006
Iveland,58.45,7.7833,3.8000009939405097,4.278425735443508
Lillesand,58.2486,8.3786,3.8000012060577815,2.254932971412162
Risør,58.72,9.2,3.8000018986865123,2.889220333033917
Tvedestrand,58.6197,8.9314,3.800000143480142,3.4915345959196094
Valle,59.2125,7.5356,3.800000114643777,3.508315766956467
Vegårshei,58.75,8.9333,3.800000547083304,5.2856295571865175
Åmli,58.7667,8.5,3.8000002694939194,3.6857162246564292
Audnedal,58.2833,7.3333,3.7999994110433133,3.085828326898885
Farsund,58.09178,6.79499,3.7999982921027478,1.155138120428818
Flekkefjord,58.2975,6.6644,3.8000010462897027,1.6157921758311908
Hægebostad,58.35,7.1833,3.7999999411199767,5.773963409896597
Kristiansand,58.1467,7.9956,3.8000003158250863,2.0769791199716114
Kvinesdal,58.3167,6.9667,3.800000790150431,1.5210552258437275
Lindesnes,58.0833,7.2833,3.7999988950172194,2.5019635830912916
Lyngdal,58.1333,7.0667,3.800000168393962,1.58050722609495
Mandal,58.0275,7.4536,3.799999033941477,2.38469906570646
Marnardal,58.2667,7.5333,3.8000007450643007,3.4466982861427353
Sirdal,58.85,6.9,3.8000001102936243,13.975500873982424
Songdalen,58.2833,7.7167,3.799999384348917,4.572322621555458
