Municipality,Latitude,Longitude,Beta
Haram,62.59971,6.4387,3.828303062645473
Hareid,62.3667,6.025,4.016500357844378
Herøy,65.9917,12.2833,3.7904770014637332
Kristiansund,63.1104,7.7279,4.364058904217551
Midsund,62.6766,6.7265,5.310142860446611
Molde,62.7375,7.1591,4.212522739203344
Nesset,62.7325,8.1725,3.112887750267479
Norddal,62.2631,7.2497,3.1241034269695063
Rauma,62.5667,7.7,4.528947600522985
Rindal,63.05,9.2,4.194792943350022
Skodje,62.4833,6.7167,4.40774228181702
Smøla,63.44,8.0,3.8269523107655283
Stordal,62.3833,7.25,3.6416165381495182
Stranda,62.3167,6.9333,4.194558310746771
Sula,61.1159,4.96715,4.60331930539405
Sunndal,62.6667,8.5667,4.1527996289765925
Surnadal,62.9833,8.7333,3.901809471471439
Sykkylven,62.3833,6.5833,4.085671656531637
Tingvoll,62.9167,8.2,4.386441766285818
Ulstein,62.346,5.844,3.841434741853136
Vanylven,62.10641,5.56983,3.946375192125391
Vestnes,62.62959,7.08469,4.505892260881714
Volda,62.1444,6.0736,4.430411151287647
Ørskog,62.4667,6.7833,4.592909166542216
Fjord,62.3051,7.26369,5.211368932529738
Ørsta,62.19982,6.12905,4.325819728219338
Ålesund,62.47478,6.1865,3.5823814437317703
Flatanger,64.50182,10.89724,4.2063315122465195
Fosnes,64.6753,11.2886,4.3191014600939965
Frosta,63.5833,10.7667,3.8319927902256703
Frøya,63.7256,8.8347,4.064908370039965
Grong,64.4561,12.3122,2.873481155724636
Heim,63.2903,9.0919,4.575938349443114
Hitra,63.6033,8.9708,4.409739436109445
Holtålen,62.84,11.3003,3.6695345879880312
Høylandet,64.6323,12.3029,4.216609197653782
Inderøy,63.8756,11.2914,4.469128273240702
Indre Fosen,63.5804,10.2241,4.002512178898042
Klæbu,63.3161,10.3947,3.9813104504441617
Leka,65.0994,11.6528,3.2056724353227106
Levanger,63.7461,11.2994,4.607838336393872
Lierne,64.4742,13.6019,4.110149230600883
Malvik,63.4211,10.8072,4.701763316159785
Orkland,63.0561,9.7122,4.546069897372941
Meråker,63.4247,11.7444,4.0160155128736195
Midtre Gauldal,62.9525,10.4867,4.50608490145531
Namsos - Nåavmesjenjaelmie,64.47119,11.50364,3.6255199678981502
Namsskogan,64.9239,13.1569,3.8463541002416113
Oppdal,62.5944,9.6914,3.6100648175233836
Selbu,63.2167,11.0311,4.21719773674896
Trondheim - Tråante,63.4305,10.3951,4.147183857828384
Tydal,63.0225,11.9325,3.8268133397473534
Verdal,63.7931,11.4814,4.638877450127649
Ørland,63.6881,9.6672,4.126322204136949
Stjørdal,63.46802,10.93058,4.627153439885595
Osen,64.30454,10.53651,3.3517087246570156
Skaun,63.3261,10.04314,4.201594435944436
Melhus,63.28568,10.28068,4.775161714652463
Nærøysund,64.86948,11.23734,3.692086877750853
Steinkjer,64.01206,11.50389,4.087970253169617
Åfjord,63.9647,10.23636,4.1777315697269035
Rennebu,62.82901,10.00342,3.8347062816013744
Overhalla,64.49428,11.94327,3.9413269320194515
Rosse - Røros,62.57561,11.38178,4.649816307353996
Raarvihke - Røyrvik,64.89123,13.5578,3.6268962750466325
Snåase - Snåsa,64.24588,12.38517,3.6970789560359845
Alstahaug,65.9442,12.4703,4.238050162608999
Andøy,69.3,16.1333,3.5168945346806013
Ballangen,68.3417,16.8333,4.458201211826979
Beiarn,67.0333,14.5667,3.6657214470647066
Bindal,65.08718,12.37237,3.81909577996194
Bodø,67.2804,14.4049,4.721616530651423
Brønnøy,65.46598,12.20515,3.894433545768694
Dønna,66.0667,12.5167,3.5241552105101284
Evenes - Evenášši,68.5,16.7667,3.2840691383701035
Fauske - Fuossko,67.2583,15.3906,4.236701297780131
Flakstad,68.1,13.25,3.28603229548977
Gildeskål,67.0333,14.0167,4.183166035262856
Grane,65.5667,13.3833,4.396656439212774
Hadsel,68.5592,14.90259,3.617792708070283
Hábmer - Hamarøy,68.0833,15.6333,3.8564511484149375
Aarborte - Hattfjelldal,65.59828,13.99871,4.269966907134181
Hemnes,66.2167,14.1,3.477536429148648
Leirfjord,66.0833,12.8833,3.5924629412857176
Lurøy,66.37527,13.1292,2.396450272154229
Lødingen,68.4083,15.9933,3.961316959001753
Meløy,66.87464,13.71313,4.021571223503707
Moskenes,67.9167,13.0,2.70285621815387
Narvik,68.4385,17.4279,3.4203747101644857
Nesna,66.1961,13.0194,3.6833909059304517
Rana,66.3106,14.1428,3.753678824027385
Rødøy,66.71277,13.29149,4.964671825201991
Saltdal,66.8667,15.3667,4.077244974587842
Sortland - Suortá,68.69728,15.39786,3.801898345015458
Steigen,67.7833,15.0,3.980064920716537
Sømna,65.3167,12.1833,4.135342643593085
Sørfold,67.3833,15.6333,3.898193737623189
Dielddanuorri - Tjeldsund,68.5833,16.3667,3.0481867298727523
Tysfjord,68.1833,16.0,4.131658363173284
Vefsn,65.8667,13.1833,3.817426463883164
Vefsn - langs fjorden,65.8667,13.1833,3.4429815592952018
Vefsn - Mosjøen,65.8358,13.1903,3.5416348385126026
Vega,65.6833,11.9333,3.166508587337582
Vestvågøy,68.25,13.6,3.0115668998519
Vevelstad,65.65799,12.43707,2.749278896464999
Værøy,67.6667,12.6833,2.6180409085356886
Vågan,68.2833,14.5667,2.968834092802392
Øksnes,68.9167,15.1667,3.4358902974484353
Balsfjord,69.2403,19.2186,4.054972160158371
Bardu,68.8667,18.35,3.615897186240529
Dyrøy,69.0928,17.7083,3.5003538182718987
Gáivuotna - Kåfjord - Kaivuono,69.4667,20.6333,3.900017314413857
Gratangen,68.6167,17.5,3.730662947793799
Harstad - Hárstták,68.7983,16.5414,3.770524533519306
Ibestad,68.7833,17.1,3.7352551914524343
Karlsøy,69.96286,19.61316,3.4396063024214483
Kvæfjord,68.7667,16.3167,3.583482038740953
Kvænangen,69.9333,22.0333,3.524350880132937
Loabák - Lavangen,68.7667,17.7,3.8353178311513885
Lenvik,69.3667,17.95,3.4448174250373307
Lyngen,69.5792,20.2083,2.8948490618153895
Målselv,69.1,18.6,3.8308947493707692
Nordreisa - Ráisa - Raisi,69.75,21.0333,3.3524203586931747
Salangen,68.9167,17.8333,3.8683784033288284
Skjervøy,69.9677,20.83246,3.5770770444236395
Storfjord - Omasvuotna - Omasvuono,69.3833,19.9833,4.064069313639303
Sørreisa,69.1461,18.1564,3.8764119437173177
Senja,69.29636,17.60989,3.568776753962949
Tranøy,69.2,17.4167,3.207770542729428
Tromsø,69.6723,18.94543,3.4973741265395324
Alta,69.9689,23.2717,4.017126646920635
Berlevåg,70.8578,29.0861,3.3465090403061613
Båtsfjord,70.6333,29.7333,3.410355492597217
Deatnu - Tana,70.19991,28.17052,4.84949216668763
Gamvik,71.05,28.2333,3.996684386238438
Guovdageaidnu - Kautokeino,69.0111,23.0417,5.104529702278097
Hammerfest - Hámmerfeasta,70.6634,23.6821,3.258241512692998
Hasvik,70.58593,22.29272,2.6669747835288464
Kárášjohka - Karasjok,69.4719,25.5114,5.128652849315735
Kvalsund,70.5075,24.0072,3.4534480147729996
Lebesby,70.5833,27.0,4.034823754106274
Loppa,70.25,22.35,3.5466942717332923
Måsøy,71.0,24.6667,3.2313777152550545
Nordkapp,71.1667,25.7833,3.0502971965220063
Porsanger - Porsáŋgu - Porsanki,70.0519,24.9719,4.534186170672606
Sør-Varanger,69.6667,29.9833,4.971278030119408
Unjárga - Nesseby,70.1492,28.8661,5.09922202140587
Vadsø,70.07771,29.75464,4.177206442860176
