Municipality,Latitude,Longitude,Beta
Averøy,63.0338,7.4897,4.09704514837243
Hustadvika,62.9163,7.3958,3.14286027579367
Fræna,62.8851,7.1286,3.4631213835905257
Giske,62.50491,6.0465,3.8265441373858016
Gjemnes,62.9667,7.7852,4.493441070595518
Halsa,63.0694,8.2603,3.67166703002193
Haram,62.59971,6.4387,3.5930492302030674
Hareid,62.3667,6.025,3.677585782074962
Herøy,65.9917,12.2833,3.331099317964593
Kristiansund,63.1104,7.7279,3.992818805553402
Midsund,62.6766,6.7265,5.106925037556668
Molde,62.7375,7.1591,3.886427666291497
Nesset,62.7325,8.1725,3.337775764830275
Norddal,62.2631,7.2497,3.1215810779330173
Rauma,62.5667,7.7,4.174180438704721
Rindal,63.05,9.2,3.7147201896906723
Skodje,62.4833,6.7167,4.024766797395276
Smøla,63.44,8.0,3.3516946868361486
Stordal,62.3833,7.25,3.491316123677481
Stranda,62.3167,6.9333,3.8641877272232916
Sula,61.1159,4.96715,4.065856279454829
Sunndal,62.6667,8.5667,3.7780563595511407
Surnadal,62.9833,8.7333,3.615532744228949
Sykkylven,62.3833,6.5833,3.635307233071822
Tingvoll,62.9167,8.2,4.003351252510118
Ulstein,62.346,5.844,3.605474520010077
Vanylven,62.10641,5.56983,3.6892470300126914
Vestnes,62.62959,7.08469,4.319574297901429
Volda,62.1444,6.0736,4.063610834278303
Ørskog,62.4667,6.7833,4.255789302732613
Fjord,62.3051,7.26369,4.728381036297058
Ørsta,62.19982,6.12905,4.123738608081828
Ålesund,62.47478,6.1865,3.2773540397369794
Flatanger,64.50182,10.89724,3.9418317182639813
Fosnes,64.6753,11.2886,4.010727468145351
Frosta,63.5833,10.7667,3.4522383750726373
Frøya,63.7256,8.8347,3.697853948070518
Grong,64.4561,12.3122,2.6760902959939394
Heim,63.2903,9.0919,4.122177221362673
Hitra,63.6033,8.9708,4.038303826433033
Holtålen,62.84,11.3003,3.8239602804934054
Høylandet,64.6323,12.3029,4.019583114600019
Inderøy,63.8756,11.2914,3.9553520704053526
Indre Fosen,63.5804,10.2241,4.185060591665612
Klæbu,63.3161,10.3947,3.799069728759116
Leka,65.0994,11.6528,2.924611768244046
Levanger,63.7461,11.2994,4.108288534915478
Lierne,64.4742,13.6019,4.864407464977056
Malvik,63.4211,10.8072,4.402276625552833
Orkland,63.0561,9.7122,4.238314816145721
Meråker,63.4247,11.7444,3.7091654042020576
