Municipality,Elevation
Bærum,"[20.6, 21.94, 24.03, 22.68, 25.02, 27.24, 32.61, 32.96, 30.68, 34.64, 26.52, 26.34, 32.73, 32.74, 34.63, 33.59, 39.97, 45.92, 48.33, 21.3, 22.39, 36.15, 36.91, 36.27, 36.11, 46.78, 45.45, 47.91, 25.78, 28.72, 38.46, 38.35, 39.87, 38.68, 50.8, 47.33, 46.23, 37.4, 42.46, 42.1, 39.2, 43.39, 41.67, 49.64, 50.34, 46.36, 44.51, 47.88, 36.57, 41.88, 48.82, 48.83, 47.46, 47.84, 46.66, 47.99, 48.3, 46.54, 47.0, 51.54, 50.27, 47.87, 48.76, 47.69, 50.18, 48.24, 51.46, 37.93, 52.39, 52.55, 52.25, 50.59, 51.92, 50.44, 43.82, 39.47, 54.86, 55.96, 54.76, 58.71, 61.57, 58.39, 64.48]"
Gjerdrum,"[167.16, 177.05, 172.19, 169.98, 179.02, 179.02, 176.46, 178.18, 165.57, 172.59, 177.6, 171.42, 179.29, 174.27, 164.92, 163.11, 165.03, 169.32, 170.31, 173.3, 179.49, 179.44, 170.92, 162.11, 164.74, 157.08, 161.82, 171.8, 178.26, 179.12, 178.1, 177.91, 164.98, 161.54, 154.45, 163.38, 170.61, 170.56, 170.36, 170.18, 165.34, 172.44, 159.33, 154.78, 167.13, 165.98, 170.47, 166.02, 168.42, 163.63, 169.78, 166.92, 148.47, 156.44, 156.82, 169.97, 164.92, 165.34, 162.53, 168.63, 160.6, 145.15, 161.0, 166.02, 176.31, 164.67, 159.69, 159.98, 167.83, 163.16, 148.94, 159.79, 160.43, 166.45, 161.46, 163.81, 160.55, 156.73, 155.03, 165.0, 142.95, 153.6, 149.1]"
Hurdal,"[210.48, 209.23, 211.09, 209.91, 209.05, 210.93, 213.89, 223.32, 226.18, 231.96, 209.2, 209.75, 208.47, 211.09, 218.43, 221.32, 224.45, 223.78, 214.94, 209.36, 207.1, 208.0, 208.0, 213.64, 224.58, 227.51, 231.49, 215.99, 214.16, 207.71, 208.0, 208.0, 210.4, 223.27, 222.12, 224.46, 221.92, 214.51, 211.11, 208.0, 208.0, 208.51, 221.75, 220.38, 220.99, 219.4, 221.07, 212.3, 208.0, 208.0, 207.29, 217.14, 218.37, 220.91, 219.62, 227.35, 209.78, 208.0, 207.04, 211.49, 218.33, 211.4, 233.78, 227.0, 232.73, 210.26, 207.77, 208.49, 211.19, 212.65, 208.59, 220.08, 218.26, 210.66, 208.24, 214.12, 212.38, 206.49, 204.84, 195.13, 195.48, 194.44, 192.44]"
Lørenskog,"[183.56, 178.99, 172.48, 185.17, 179.26, 176.55, 169.64, 178.81, 177.84, 173.87, 185.18, 181.27, 177.63, 165.59, 179.01, 173.62, 166.73, 164.5, 166.4, 183.21, 178.97, 168.76, 166.96, 163.91, 166.19, 160.22, 160.53, 160.08, 179.78, 174.66, 175.93, 178.5, 172.46, 163.16, 163.77, 165.4, 166.64, 178.62, 177.0, 175.76, 174.42, 170.68, 165.04, 172.22, 177.37, 174.56, 176.27, 176.38, 175.09, 166.79, 170.86, 171.98, 182.91, 182.11, 179.02, 179.48, 176.1, 172.24, 168.91, 168.46, 177.13, 182.88, 189.06, 186.47, 179.9, 175.38, 168.6, 166.52, 167.66, 175.56, 189.02, 195.71, 201.69, 172.11, 164.97, 185.1, 182.85, 189.02, 201.49, 202.03, 195.36, 191.94, 188.91]"
Nannestad,"[195.92, 193.82, 193.0, 197.41, 189.12, 197.11, 200.11, 200.56, 199.64, 197.65, 197.85, 190.98, 194.76, 199.13, 199.56, 198.58, 199.38, 200.04, 202.01, 198.54, 189.88, 199.59, 199.44, 199.72, 201.06, 201.94, 200.92, 203.06, 198.9, 193.52, 194.35, 200.71, 198.95, 201.51, 202.22, 203.58, 204.64, 197.91, 199.39, 199.98, 193.32, 198.21, 201.75, 202.57, 204.37, 204.91, 200.03, 200.73, 201.91, 200.27, 198.75, 198.32, 202.97, 205.25, 205.46, 200.77, 199.52, 202.31, 201.95, 197.97, 201.58, 204.08, 205.22, 205.81, 202.04, 201.92, 203.99, 201.79, 199.37, 197.9, 203.66, 205.18, 206.07, 204.63, 203.19, 202.2, 203.06, 204.23, 201.15, 205.75, 205.32, 207.9, 207.86]"
Nes,"[769.84, 771.16, 775.63, 784.08, 789.09, 798.38, 786.23, 755.81, 748.44, 798.66, 797.24, 794.94, 786.34, 787.25, 780.87, 755.13, 738.25, 705.57, 804.9, 800.3, 796.47, 793.75, 794.27, 787.31, 778.87, 762.47, 713.39, 807.16, 802.03, 802.0, 793.55, 801.02, 802.59, 794.72, 773.62, 736.34, 819.51, 807.29, 802.01, 807.61, 796.06, 801.86, 804.64, 783.52, 739.25, 833.32, 820.25, 819.03, 814.07, 801.74, 794.41, 795.26, 792.04, 749.7, 858.09, 835.13, 827.78, 828.22, 824.31, 809.05, 792.7, 788.15, 765.96, 866.67, 853.56, 837.34, 831.42, 827.16, 811.33, 794.0, 791.08, 777.57, 824.61, 818.93, 813.11, 810.32, 809.86, 771.31, 831.36, 783.02, 764.72]"
Nesodden,"[120.81, 119.33, 127.25, 131.83, 119.7, 122.98, 113.91, 120.75, 118.13, 110.95, 130.47, 138.21, 138.51, 138.95, 145.29, 134.04, 128.9, 125.28, 102.75, 159.08, 167.11, 146.1, 144.54, 154.78, 148.97, 141.44, 134.77, 114.89, 175.69, 164.8, 143.33, 147.11, 167.99, 166.72, 156.66, 149.13, 127.4, 170.3, 170.63, 163.59, 156.71, 171.18, 171.18, 163.49, 154.47, 136.19, 165.7, 165.15, 166.22, 156.93, 159.84, 169.88, 168.2, 162.45, 144.28, 167.05, 155.35, 160.06, 166.94, 166.8, 172.01, 166.06, 167.59, 147.51, 159.76, 152.78, 152.93, 162.84, 166.64, 170.39, 165.52, 164.3, 152.7, 154.47, 152.34, 158.88, 171.18, 162.29, 156.95, 148.89, 158.36, 146.06, 135.11]"
Oppegård,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 84.71, 124.16, 136.56, 124.74, 46.74, 40.0, 40.0, 77.9, 126.5, 146.51, 143.31, 95.0, 95.0, 49.54, 40.0, 40.0, 80.02, 125.79, 147.25, 145.13, 95.0, 95.0, 54.07, 40.27, 50.96, 83.77, 127.14, 151.22, 144.86, 95.0, 95.0, 65.94, 54.64, 44.95, 65.55, 118.04, 139.71, 133.94, 95.0, 95.0, 76.68, 74.11, 56.37, 67.9, 108.94, 132.09, 120.64, 95.0, 95.0, 78.9, 90.79, 78.22, 66.79, 86.19, 104.73, 105.92, 102.16, 95.37, 83.45, 98.21, 85.77, 75.27, 78.1, 87.4, 103.34, 97.53, 102.52, 98.91, 79.87, 84.31, 87.32, 101.83, 96.29, 95.0, 92.91, 107.35, 95.0]"
Rælingen,"[351.42, 355.42, 360.37, 327.37, 325.23, 337.52, 344.03, 354.09, 347.64, 318.9, 319.02, 320.71, 311.29, 328.97, 343.37, 330.34, 323.25, 290.96, 258.48, 321.42, 299.1, 303.71, 307.77, 316.56, 333.27, 321.34, 270.68, 239.62, 304.5, 287.02, 296.66, 299.93, 320.21, 314.21, 303.43, 266.96, 232.93, 271.34, 272.23, 277.46, 290.08, 277.59, 281.12, 263.98, 245.28, 234.51, 249.81, 262.85, 267.31, 277.66, 282.57, 270.56, 241.54, 242.2, 257.8, 264.75, 270.02, 274.53, 276.32, 280.99, 266.25, 257.59, 257.9, 256.64, 251.6, 257.44, 268.82, 277.39, 276.8, 252.02, 269.51, 277.02, 282.27, 278.8, 287.87, 265.96, 262.63, 279.82, 282.41, 279.24, 285.51, 277.45, 269.71]"
Skedsmo,"[243.06, 234.17, 236.34, 240.71, 243.76, 216.24, 214.67, 216.66, 203.9, 193.89, 232.24, 236.84, 212.64, 220.57, 200.41, 182.68, 162.71, 160.85, 153.54, 215.27, 212.85, 209.23, 201.69, 192.5, 164.14, 148.29, 141.59, 133.4, 187.16, 189.81, 193.41, 189.96, 172.93, 159.36, 147.32, 129.25, 115.71, 180.94, 174.69, 167.97, 167.19, 163.04, 149.87, 132.58, 121.24, 109.81, 164.32, 166.87, 152.52, 152.82, 148.54, 129.21, 116.97, 104.64, 103.99, 152.88, 158.89, 148.52, 128.05, 139.76, 114.22, 103.29, 100.81, 100.85, 149.25, 145.98, 133.7, 118.91, 106.42, 107.36, 100.79, 100.83, 100.84, 108.44, 107.09, 104.2, 100.88, 100.88, 104.03, 107.54, 107.92, 107.39, 106.78]"
