Municipality,Latitude,Longitude,Char
Bergen,60.39035,5.3177,0.8666433520679204
Bømlo,59.8,5.2,0.26273438778543357
Eidfjord,60.35153,7.35181,0.5569713247866162
Etne,59.7,5.9,-0.7046878439502358
Fedje,60.76451,4.72341,0.2613076497311433
Fitjar,59.92343,5.32846,0.3135655820754344
Fusa,60.2,5.7,0.24609968564397722
Granvin,60.5,6.7,2.1706345249199543
Jondal,60.3,6.3,-3.266963832559007
Kvam,60.4,6.1,-10.618246022419743
Kvinnherad,59.9,6.0,-7.619585074558058
Lindås,60.7,5.3,0.8632728939974343
Masfjorden,61.0,5.3,2.384145646441854
Meland,60.6,5.0,0.3321914410833433
Modalen,60.8,5.7,-14.909755729296716
Odda,60.1,6.5,-1.8804508019479638
Os,60.2,5.5,-0.0639450170058189
Osterøy,60.5,5.6,-5.512065920257154
Voss,60.6,6.4,2.304912907314259
Øygarden,60.36319,5.11867,0.4062717123742545
Ullensvang,60.06699,6.54544,0.7519727199561865
Alver,60.55122,5.28939,1.1243521392777365
Vaksdal,60.5917,5.82262,-1.2019604134273418
Samnanger,60.39245,5.77437,1.1387894838790735
Ulvik,60.5731,6.92183,0.16076337946170227
Sveio,59.54494,5.35543,1.0064851084699447
Stord,59.78143,5.49527,0.6224880597453992
Tysnes,59.99905,5.49951,0.42069313105870765
Askvoll,61.3483,5.0736,0.8842048014611357
Aurland,60.9064,7.1949,0.7520482331997018
Bremanger,61.76794,5.29806,-1.9811104411977425
Stad,61.9104,5.9987,1.1169107972942607
Fjaler,61.3669,5.4127,1.5739570133959302
Kinn,61.59204,5.01032,0.9937743907669008
Førde,61.4526,5.8621,1.1783129463816038
Gaular,61.3954,5.9553,-6.724832851468154
Gloppen,61.76946,6.23015,0.5235886308756315
Gulen,60.9847,5.2058,-3.4311955044087874
Hornindal,62.0094,6.5231,-6.911091117087455
Hyllestad,61.2804,5.3018,-0.0050443475450689945
Høyanger,61.2165,6.0812,-0.07629490598262967
Jølster,61.5708,6.2531,-4.473075535688478
Leikanger,61.1844,6.8476,-0.4264785743959787
Luster,61.4979,7.3292,-2.5989020881172404
Lærdal,61.0992,7.4786,0.7916004220489732
Naustdal,61.5092,5.7271,1.2019145467871573
Sogndal,61.229,7.1034,-0.7964589965461348
Solund,61.0918,4.8324,0.12601542208269212
Stryn,61.9018,6.7208,0.9179924469568488
Vik,61.0674,6.5857,-2.4287657862715974
Vågsøy,61.9357,5.1111,0.20359739851188996
Årdal,61.23825,7.72024,0.7811513112113557
Sunnfjord,61.4929,5.54849,2.5547626433099784
Aukra,62.7922,6.9069,0.6657426645711344
Aure,63.2714,8.5233,0.7207020080874398
Averøy,63.0338,7.4897,1.129067141977575
Hustadvika,62.9163,7.3958,-0.900818850442656
Fræna,62.8851,7.1286,0.010025843824814196
Giske,62.50491,6.0465,0.6165626048137134
Gjemnes,62.9667,7.7852,1.9685402010122135
Halsa,63.0694,8.2603,0.5787477772075138
Haram,62.59971,6.4387,0.040518022852518154
Hareid,62.3667,6.025,0.34854914870733555
Herøy,65.9917,12.2833,-0.013823744437719832
Kristiansund,63.1104,7.7279,0.9445230654686512
Midsund,62.6766,6.7265,3.304753001401648
Molde,62.7375,7.1591,0.7259726535544524
Nesset,62.7325,8.1725,-5.489434157614035
Norddal,62.2631,7.2497,-3.8408213879206397
Rauma,62.5667,7.7,1.4935145757827728
Rindal,63.05,9.2,0.9003351619811375
Skodje,62.4833,6.7167,1.1485370649658666
Smøla,63.44,8.0,0.03860281593133719
Stordal,62.3833,7.25,-1.122157135431788
Stranda,62.3167,6.9333,0.8998723469066987
Sula,61.1159,4.96715,1.4281079584027667
Sunndal,62.6667,8.5667,0.8159137581315594
Surnadal,62.9833,8.7333,0.2566970597602971
Sykkylven,62.3833,6.5833,0.8266037846732246
Tingvoll,62.9167,8.2,1.256548565081792
Ulstein,62.346,5.844,0.07099743359599575
